mapid	source	spanX	spanY	scrollX_800x600	scrollY_800x600	scrollX_1280x720	scrollY_1280x720	pinned_1280x720
682000500	foothold-est	2126	483	1326	0	846	0	1
682000405	foothold-est	1098	198	298	0	0	0	1
610030400	VR	2520	2051	1720	1451	1240	1331	0
610010200	foothold-est	2456	912	1656	312	1176	192	0
610020015	foothold-est	2450	785	1650	185	1170	65	0
680000100	VR	800	600	0	0	0	0	1
610030521	VR	4395	1120	3595	520	3115	400	0
610020013	foothold-est	2270	965	1470	365	990	245	0
683000100	VR	1385	2077	585	1477	105	1357	0
680000300	VR	800	592	0	0	0	0	1
677000007	VR	1035	594	235	0	0	0	1
680000401	VR	800	600	0	0	0	0	1
682000302	foothold-est	1098	160	298	0	0	0	1
680010000	foothold-est	2276	1351	1476	751	996	631	0
682010001	foothold-est	1624	160	824	0	344	0	1
683000101	VR	1385	2077	585	1477	105	1357	0
683000106	VR	1385	2077	585	1477	105	1357	0
600010100	foothold-est	2354	1412	1554	812	1074	692	0
670010600	foothold-est	19090	1450	18290	850	17810	730	0
670010302	foothold-est	1810	2315	1010	1715	530	1595	0
682000000	foothold-est	2096	622	1296	22	816	0	1
610010010	foothold-est	2096	335	1296	0	816	0	1
682000300	foothold-est	2126	529	1326	0	846	0	1
683000110	VR	1385	2077	585	1477	105	1357	0
600020000	foothold-est	1730	4534	930	3934	450	3814	0
682000100	foothold-est	3690	1165	2890	565	2410	445	0
677000013	VR	1710	1475	910	875	430	755	0
600020300	foothold-est	3170	1817	2370	1217	1890	1097	0
682000304	foothold-est	1096	160	296	0	0	0	1
670010301	foothold-est	1810	2315	1010	1715	530	1595	0
610020011	foothold-est	2450	785	1650	185	1170	65	0
682000400	foothold-est	2126	530	1326	0	846	0	1
680000002	VR	799	534	0	0	0	0	1
682000503	VR	1055	783	255	183	0	63	1
680000001	VR	800	600	0	0	0	0	1
677000005	VR	998	599	198	0	0	0	1
683000128	VR	1385	2077	585	1477	105	1357	0
682000505	VR	1053	773	253	173	0	53	1
610030100	foothold-est	3260	964	2460	364	1980	244	0
610010013	foothold-est	2096	335	1296	0	816	0	1
600010500	foothold-est	4064	1908	3264	1308	2784	1188	0
682000401	foothold-est	1103	160	303	0	0	0	1
670000200	foothold-est	2096	1206	1296	606	816	486	0
610010012	foothold-est	2096	335	1296	0	816	0	1
682000506	VR	1053	770	253	170	0	50	1
670010400	foothold-est	2440	501	1640	0	1160	0	1
682000601	VR	1045	828	245	228	0	108	1
677000004	foothold-est	1256	1165	456	565	0	445	1
682000603	VR	1052	765	252	165	0	45	1
682000604	VR	1047	762	247	162	0	42	1
674030000	foothold-est	3072	2765	2272	2165	1792	2045	0
600010002	VR	1047	600	247	0	0	0	1
682000700	foothold-est	3338	2429	2538	1829	2058	1709	0
682000800	foothold-est	3690	1107	2890	507	2410	387	0
683000129	VR	1385	2077	585	1477	105	1357	0
683000000	VR	1024	1662	224	1062	0	942	1
680010100	foothold-est	2276	1236	1476	636	996	516	0
682010000	foothold-est	1624	160	824	0	344	0	1
600010003	VR	1960	594	1160	0	680	0	1
610010104	foothold-est	3986	372	3186	0	2706	0	1
680000004	VR	848	611	48	11	0	0	1
674030300	VR	1660	2473	860	1873	380	1753	0
680100002	VR	1565	1240	765	640	285	520	0
610010001	foothold-est	2546	1332	1746	732	1266	612	0
682000403	foothold-est	1099	160	299	0	0	0	1
683000124	VR	1385	2077	585	1477	105	1357	0
683000108	VR	1385	2077	585	1477	105	1357	0
683000122	VR	1385	2077	585	1477	105	1357	0
683000102	VR	1385	2077	585	1477	105	1357	0
610020004	foothold-est	2998	2832	2198	2232	1718	2112	0
683000104	VR	1385	2077	585	1477	105	1357	0
683000119	VR	1385	2077	585	1477	105	1357	0
610030012	VR	1770	1000	970	400	490	280	0
600010200	foothold-est	2354	2331	1554	1731	1074	1611	0
682000301	foothold-est	1100	160	300	0	0	0	1
680000210	VR	1204	609	404	9	0	0	1
682000200	foothold-est	1076	4191	276	3591	0	3471	1
610010103	foothold-est	3986	372	3186	0	2706	0	1
682010200	foothold-est	986	3891	186	3291	0	3171	1
680100001	foothold-est	1198	725	398	125	0	5	1
610010102	foothold-est	3986	372	3186	0	2706	0	1
670010800	foothold-est	1990	1420	1190	820	710	700	0
683070400	VR	2428	1460	1628	860	1148	740	0
610030530	VR	2300	1548	1500	948	1020	828	0
610010011	foothold-est	2096	335	1296	0	816	0	1
680100003	foothold-est	1200	1460	400	860	0	740	1
610030520	VR	6010	1330	5210	730	4730	610	0
610030510	VR	2048	2867	1248	2267	768	2147	0
682000306	foothold-est	1100	160	300	0	0	0	1
683000115	VR	1385	2077	585	1477	105	1357	0
682000406	foothold-est	1100	160	300	0	0	0	1
670010500	foothold-est	1810	910	1010	310	530	190	0
683000126	VR	1385	2077	585	1477	105	1357	0
682000605	VR	1049	778	249	178	0	58	1
677000001	foothold-est	1288	340	488	0	8	0	1
682000900	foothold-est	2696	2061	1896	1461	1416	1341	0
600010000	foothold-est	3074	1287	2274	687	1794	567	0
683000125	VR	1385	2077	585	1477	105	1357	0
677000000	foothold-est	1018	1150	218	550	0	430	1
610020001	foothold-est	4430	2465	3630	1865	3150	1745	0
709000604	VR	2467	1990	1667	1390	1187	1270	0
709000605	VR	1137	1230	337	630	0	510	1
390000125	VR	2418	1180	1618	580	1138	460	0
390000319	VR	1876	1198	1076	598	596	478	0
300000002	VR	798	634	0	34	0	0	1
390000204	VR	2056	1208	1256	608	776	488	0
390000013	VR	1880	1180	1080	580	600	460	0
300000012	VR	798	596	0	0	0	0	1
390000041	VR	1880	1180	1080	580	600	460	0
300010000	VR	2158	970	1358	370	878	250	0
300000010	VR	800	895	0	295	0	175	1
300010200	VR	2063	970	1263	370	783	250	0
390000202	VR	2056	1208	1256	608	776	488	0
390000600	VR	1158	1708	358	1108	0	988	1
390000036	VR	1880	1180	1080	580	600	460	0
390000208	VR	2056	1208	1256	608	776	488	0
390000035	VR	1880	1180	1080	580	600	460	0
390000300	VR	1876	1198	1076	598	596	478	0
390000042	VR	1880	1180	1080	580	600	460	0
390000145	VR	2418	1180	1618	580	1138	460	0
390000001	VR	1880	1180	1080	580	600	460	0
390000100	VR	2239	1180	1439	580	959	460	0
390000003	VR	1880	1180	1080	580	600	460	0
390000044	VR	1880	1180	1080	580	600	460	0
390000700	VR	2236	1180	1436	580	956	460	0
390000404	VR	2417	1180	1617	580	1137	460	0
390000139	VR	2418	1180	1618	580	1138	460	0
390000144	VR	2418	1180	1618	580	1138	460	0
390000134	VR	2418	1180	1618	580	1138	460	0
390000141	VR	2418	1180	1618	580	1138	460	0
390000029	VR	1880	1180	1080	580	600	460	0
390000312	VR	1876	1198	1076	598	596	478	0
300000011	VR	793	596	0	0	0	0	1
390000309	VR	1876	1198	1076	598	596	478	0
390000500	VR	2236	1180	1436	580	956	460	0
390000704	VR	2236	1180	1436	580	956	460	0
390000017	VR	1880	1180	1080	580	600	460	0
390000218	VR	2056	1208	1256	608	776	488	0
300010300	VR	2153	970	1353	370	873	250	0
390000027	VR	1880	1180	1080	580	600	460	0
390000021	VR	1880	1180	1080	580	600	460	0
390000032	VR	1880	1180	1080	580	600	460	0
390000407	VR	2417	1180	1617	580	1137	460	0
390000137	VR	2418	1180	1618	580	1138	460	0
390000142	VR	2418	1180	1618	580	1138	460	0
390000148	VR	2418	1180	1618	580	1138	460	0
390000603	VR	1158	1708	358	1108	0	988	1
390000304	VR	1876	1198	1076	598	596	478	0
390000011	VR	1880	1180	1080	580	600	460	0
390000014	VR	1880	1180	1080	580	600	460	0
390000015	VR	1880	1180	1080	580	600	460	0
390000803	VR	1878	1180	1078	580	598	460	0
390000101	VR	2418	1180	1618	580	1138	460	0
390000401	VR	2417	1180	1617	580	1137	460	0
390000703	VR	2236	1180	1436	580	956	460	0
390000149	VR	2418	1180	1618	580	1138	460	0
390001001	VR	2055	1180	1255	580	775	460	0
390000702	VR	2236	1180	1436	580	956	460	0
390000409	VR	2417	1180	1617	580	1137	460	0
390000210	VR	2056	1208	1256	608	776	488	0
390000028	VR	1880	1180	1080	580	600	460	0
390000038	VR	1880	1180	1080	580	600	460	0
300010100	VR	1978	960	1178	360	698	240	0
390000008	VR	1880	1180	1080	580	600	460	0
390000143	VR	2418	1180	1618	580	1138	460	0
390000214	VR	2056	1208	1256	608	776	488	0
390000109	VR	2418	1180	1618	580	1138	460	0
390000203	VR	2056	1208	1256	608	776	488	0
390000006	VR	1880	1180	1080	580	600	460	0
390000307	VR	1876	1198	1076	598	596	478	0
390001003	VR	2055	1180	1255	580	775	460	0
390000303	VR	1876	1198	1076	598	596	478	0
390000105	VR	2418	1180	1618	580	1138	460	0
390000406	VR	2417	1180	1617	580	1137	460	0
390000026	VR	1880	1180	1080	580	600	460	0
390000022	VR	1880	1180	1080	580	600	460	0
390000503	VR	2236	1180	1436	580	956	460	0
390000045	VR	1880	1180	1080	580	600	460	0
300020100	VR	2068	960	1268	360	788	240	0
390000211	VR	2056	1208	1256	608	776	488	0
390000111	VR	2418	1180	1618	580	1138	460	0
390000131	VR	2418	1180	1618	580	1138	460	0
390000047	VR	1880	1180	1080	580	600	460	0
390000005	VR	1880	1180	1080	580	600	460	0
390000302	VR	1876	1198	1076	598	596	478	0
390000900	VR	1697	1180	897	580	417	460	0
300020200	VR	1978	970	1178	370	698	250	0
390000118	VR	2418	1180	1618	580	1138	460	0
390000701	VR	2236	1180	1436	580	956	460	0
390000012	VR	1880	1180	1080	580	600	460	0
390000216	VR	2056	1208	1256	608	776	488	0
390000000	VR	1880	1180	1080	580	600	460	0
390000123	VR	2418	1180	1618	580	1138	460	0
390000502	VR	2236	1180	1436	580	956	460	0
390000110	VR	2418	1180	1618	580	1138	460	0
390000318	VR	1876	1198	1076	598	596	478	0
390000033	VR	1880	1180	1080	580	600	460	0
300000100	VR	1253	870	453	270	0	150	1
390000129	VR	2418	1180	1618	580	1138	460	0
390000116	VR	2418	1180	1618	580	1138	460	0
390000602	VR	1158	1708	358	1108	0	988	1
300000001	VR	793	644	0	44	0	0	1
390000200	VR	2056	1208	1256	608	776	488	0
390000030	VR	1880	1180	1080	580	600	460	0
390000019	VR	1880	1180	1080	580	600	460	0
390000408	VR	2417	1180	1617	580	1137	460	0
390000024	VR	1880	1180	1080	580	600	460	0
390000316	VR	1876	1198	1076	598	596	478	0
390000314	VR	1876	1198	1076	598	596	478	0
390000800	VR	1878	1180	1078	580	598	460	0
390000308	VR	1876	1198	1076	598	596	478	0
390000138	VR	2418	1180	1618	580	1138	460	0
390000007	VR	1880	1180	1080	580	600	460	0
390000115	VR	2418	1180	1618	580	1138	460	0
300000000	VR	6928	980	6128	380	5648	260	0
390000402	VR	2417	1180	1617	580	1137	460	0
390000902	VR	1697	1180	897	580	417	460	0
390000121	VR	2418	1180	1618	580	1138	460	0
390000207	VR	2056	1208	1256	608	776	488	0
390000108	VR	2418	1180	1618	580	1138	460	0
390000037	VR	1880	1180	1080	580	600	460	0
390000046	VR	1880	1180	1080	580	600	460	0
390000119	VR	2418	1180	1618	580	1138	460	0
390000301	VR	1876	1198	1076	598	596	478	0
390000504	VR	2236	1180	1436	580	956	460	0
390000010	VR	1880	1180	1080	580	600	460	0
390000206	VR	2056	1208	1256	608	776	488	0
390000140	VR	2418	1180	1618	580	1138	460	0
390000209	VR	2056	1208	1256	608	776	488	0
390000040	VR	1880	1180	1080	580	600	460	0
390000120	VR	2418	1180	1618	580	1138	460	0
390000023	VR	1880	1180	1080	580	600	460	0
390000112	VR	2418	1180	1618	580	1138	460	0
390000311	VR	1876	1198	1076	598	596	478	0
390000136	VR	2418	1180	1618	580	1138	460	0
390000122	VR	2418	1180	1618	580	1138	460	0
390000117	VR	2418	1180	1618	580	1138	460	0
390000146	VR	2418	1180	1618	580	1138	460	0
390000219	VR	2056	1208	1256	608	776	488	0
300030000	VR	1528	970	728	370	248	250	0
390000205	VR	2056	1208	1256	608	776	488	0
390000004	VR	1880	1180	1080	580	600	460	0
390000801	VR	1878	1180	1078	580	598	460	0
390000135	VR	2418	1180	1618	580	1138	460	0
390000305	VR	1876	1198	1076	598	596	478	0
390000306	VR	1876	1198	1076	598	596	478	0
390000039	VR	1880	1180	1080	580	600	460	0
390000113	VR	2418	1180	1618	580	1138	460	0
390000147	VR	2418	1180	1618	580	1138	460	0
390000904	VR	1697	1180	897	580	417	460	0
390000215	VR	2056	1208	1256	608	776	488	0
390000104	VR	2418	1180	1618	580	1138	460	0
390000400	VR	2417	1180	1617	580	1137	460	0
390000103	VR	2418	1180	1618	580	1138	460	0
390000313	VR	1876	1198	1076	598	596	478	0
390000106	VR	2418	1180	1618	580	1138	460	0
390000317	VR	1876	1198	1076	598	596	478	0
390000102	VR	2418	1180	1618	580	1138	460	0
390000002	VR	1880	1180	1080	580	600	460	0
390000133	VR	2418	1180	1618	580	1138	460	0
390000213	VR	2056	1208	1256	608	776	488	0
300010400	VR	2338	970	1538	370	1058	250	0
390000403	VR	2417	1180	1617	580	1137	460	0
390000901	VR	1697	1180	897	580	417	460	0
390000124	VR	2418	1180	1618	580	1138	460	0
390000114	VR	2418	1180	1618	580	1138	460	0
390000310	VR	1876	1198	1076	598	596	478	0
390000020	VR	1880	1180	1080	580	600	460	0
390000126	VR	2418	1180	1618	580	1138	460	0
390000031	VR	1880	1180	1080	580	600	460	0
390000132	VR	2418	1180	1618	580	1138	460	0
390000802	VR	1878	1180	1078	580	598	460	0
300020000	VR	1978	970	1178	370	698	250	0
390000009	VR	1880	1180	1080	580	600	460	0
390000018	VR	1880	1180	1080	580	600	460	0
390000601	VR	1158	1708	358	1108	0	988	1
390000025	VR	1880	1180	1080	580	600	460	0
390000016	VR	1880	1180	1080	580	600	460	0
390009999	VR	1152	1180	352	580	0	460	1
300030100	VR	898	810	98	210	0	90	1
390000804	VR	1878	1180	1078	580	598	460	0
390000903	VR	1697	1180	897	580	417	460	0
390000127	VR	2418	1180	1618	580	1138	460	0
390000315	VR	1876	1198	1076	598	596	478	0
390000217	VR	2056	1208	1256	608	776	488	0
390001002	VR	2055	1180	1255	580	775	460	0
390000405	VR	2417	1180	1617	580	1137	460	0
390000130	VR	2418	1180	1618	580	1138	460	0
390000049	VR	1880	1180	1080	580	600	460	0
390000128	VR	2418	1180	1618	580	1138	460	0
390000048	VR	1880	1180	1080	580	600	460	0
390000501	VR	2236	1180	1436	580	956	460	0
390000212	VR	2056	1208	1256	608	776	488	0
390000201	VR	2056	1208	1256	608	776	488	0
390001000	VR	2055	1180	1255	580	775	460	0
390000107	VR	2418	1180	1618	580	1138	460	0
390000043	VR	1880	1180	1080	580	600	460	0
390000034	VR	1880	1180	1080	580	600	460	0
390001004	VR	2055	1180	1255	580	775	460	0
390000604	VR	1158	1708	358	1108	0	988	1
925031002	VR	990	806	190	206	0	86	1
910000008	VR	1745	1555	945	955	465	835	0
925030900	VR	990	806	190	206	0	86	1
926021105	VR	990	685	190	85	0	0	1
900020100	VR	2428	1555	1628	955	1148	835	0
910033106	VR	2160	1297	1360	697	880	577	0
910000020	foothold-est	1650	846	850	246	370	126	0
980043204	none							?
970000106	VR	800	600	0	0	0	0	1
910050000	VR	800	735	0	135	0	15	1
925033803	VR	990	806	190	206	0	86	1
900090001	VR	800	600	0	0	0	0	1
921100000	VR	2760	690	1960	90	1480	0	1
925022301	VR	990	806	190	206	0	86	1
900090004	VR	800	600	0	0	0	0	1
900090100	VR	800	600	0	0	0	0	1
922010403	foothold-est	1906	535	1106	0	626	0	1
910320103	VR	800	600	0	0	0	0	1
925031003	VR	990	806	190	206	0	86	1
910041210	VR	1080	600	280	0	0	0	1
980010010	VR	1379	668	579	68	99	0	1
926021308	VR	990	685	190	85	0	0	1
980032000	VR	870	600	70	0	0	0	1
922210200	VR	1335	1526	535	926	55	806	0
925021903	VR	990	806	190	206	0	86	1
900090000	VR	800	600	0	0	0	0	1
910000006	foothold-est	1376	845	576	245	96	125	0
925030601	VR	990	806	190	206	0	86	1
926013503	VR	990	685	190	85	0	0	1
926010300	VR	990	685	190	85	0	0	1
970000000	foothold-est	1030	490	230	0	0	0	1
925021605	VR	990	806	190	206	0	86	1
925100201	VR	2796	983	1996	383	1516	263	0
910000013	foothold-est	1346	955	546	355	66	235	0
926010102	VR	990	685	190	85	0	0	1
980042008	none							?
920010300	VR	800	3669	0	3069	0	2949	1
921100301	foothold-est	850	160	50	0	0	0	1
925023805	VR	990	806	190	206	0	86	1
922210100	VR	1335	1526	535	926	55	806	0
980031103	VR	1995	1170	1195	570	715	450	0
910000021	foothold-est	1650	846	850	246	370	126	0
980000010	VR	805	600	5	0	0	0	1
926010063	VR	990	685	190	85	0	0	1
925022205	VR	990	806	190	206	0	86	1
926021500	VR	990	685	190	85	0	0	1
922212700	VR	1335	1526	535	926	55	806	0
980043006	VR	800	3510	0	2910	0	2790	1
925020402	VR	990	806	190	206	0	86	1
925033502	VR	990	806	190	206	0	86	1
900030000	VR	1888	1080	1088	480	608	360	0
980010200	foothold-est	850	340	50	0	0	0	1
980000204	VR	805	600	5	0	0	0	1
926000000	foothold-est	1210	160	410	0	0	0	1
925023709	VR	990	806	190	206	0	86	1
980041207	none							?
926022202	VR	990	685	190	85	0	0	1
922241012	VR	1200	1190	400	590	0	470	1
920010500	foothold-est	770	2620	0	2020	0	1900	1
910033119	VR	2160	1297	1360	697	880	577	0
922010300	VR	800	3240	0	2640	0	2520	1
910020302	foothold-est	1030	4600	230	4000	0	3880	1
926023100	VR	990	685	190	85	0	0	1
980043007	VR	800	3510	0	2910	0	2790	1
922240015	VR	9720	934	8920	334	8440	214	0
925032903	VR	990	806	190	206	0	86	1
926022309	VR	990	685	190	85	0	0	1
925022607	VR	990	806	190	206	0	86	1
910041310	VR	1080	600	280	0	0	0	1
910031002	VR	1250	1985	450	1385	0	1265	1
910033016	VR	2160	735	1360	135	880	15	0
910000014	foothold-est	1346	955	546	355	66	235	0
926013303	VR	990	685	190	85	0	0	1
925023208	VR	990	806	190	206	0	86	1
980032105	VR	1745	1650	945	1050	465	930	0
925022708	VR	990	806	190	206	0	86	1
910020201	foothold-est	1030	4600	230	4000	0	3880	1
910033305	VR	900	735	100	135	0	15	1
925021503	VR	990	806	190	206	0	86	1
910033203	VR	2430	1298	1630	698	1150	578	0
922240009	VR	9720	934	8920	334	8440	214	0
980031000	VR	870	600	70	0	0	0	1
910031015	VR	1250	1985	450	1385	0	1265	1
925023407	VR	990	806	190	206	0	86	1
910031017	VR	1250	1985	450	1385	0	1265	1
925021203	VR	990	806	190	206	0	86	1
980010201	foothold-est	1390	785	590	185	110	65	0
925020504	VR	990	806	190	206	0	86	1
980042209	none							?
926010059	VR	990	685	190	85	0	0	1
910031023	VR	1250	1985	450	1385	0	1265	1
910031024	VR	1250	1985	450	1385	0	1265	1
926023502	VR	990	685	190	85	0	0	1
926010023	VR	990	685	190	85	0	0	1
900090003	VR	800	600	0	0	0	0	1
925030801	VR	990	806	190	206	0	86	1
926022101	VR	990	685	190	85	0	0	1
925020003	VR	1230	6495	430	5895	0	5775	1
920011200	VR	1080	846	280	246	0	126	1
910031014	VR	1250	1985	450	1385	0	1265	1
914000210	VR	1438	1080	638	480	158	360	0
910033002	VR	2160	735	1360	135	880	15	0
926021501	VR	990	685	190	85	0	0	1
925022306	VR	990	806	190	206	0	86	1
925020701	VR	990	806	190	206	0	86	1
920010930	foothold-est	770	2335	0	1735	0	1615	1
913040102	VR	800	600	0	0	0	0	1
910033008	VR	2160	735	1360	135	880	15	0
910033009	VR	2160	735	1360	135	880	15	0
925022009	VR	990	806	190	206	0	86	1
922230200	VR	904	8244	104	7644	0	7524	1
914000200	VR	1438	1080	638	480	158	360	0
926120402	VR	980	1185	180	585	0	465	1
910033014	VR	2160	735	1360	135	880	15	0
910033015	VR	2160	735	1360	135	880	15	0
925021404	VR	990	806	190	206	0	86	1
980033006	VR	870	600	70	0	0	0	1
926021304	VR	990	685	190	85	0	0	1
926022204	VR	990	685	190	85	0	0	1
980043108	none							?
910033007	VR	2160	735	1360	135	880	15	0
