# id	stat	v83-stock	v84-stock	this server - v83 and v84 agree; this server differs. OWNER'S custom balance, preserve.
# 216 rows
2290097	slotMax	1	1	100
2290098	slotMax	1	1	100
2290099	slotMax	1	1	100
2290100	slotMax	1	1	100
2290101	slotMax	1	1	100
2290102	slotMax	1	1	100
2290103	slotMax	1	1	100
2290104	slotMax	1	1	100
2290105	slotMax	1	1	100
2290106	slotMax	1	1	100
2290107	slotMax	1	1	100
2290108	slotMax	1	1	100
2290110	slotMax	1	1	100
2290111	slotMax	1	1	100
2290112	slotMax	1	1	100
2290113	slotMax	1	1	100
2290114	slotMax	1	1	100
2290115	slotMax	1	1	100
2290116	slotMax	1	1	100
2290117	slotMax	1	1	100
2290118	slotMax	1	1	100
2290119	slotMax	1	1	100
2290120	slotMax	1	1	100
2290121	slotMax	1	1	100
2290122	slotMax	1	1	100
2290123	slotMax	1	1	100
2290124	slotMax	1	1	100
2290125	slotMax	1	1	100
2290126	slotMax	1	1	100
2290127	slotMax	1	1	100
2290128	slotMax	1	1	100
2290129	slotMax	1	1	100
2290130	slotMax	1	1	100
2290131	slotMax	1	1	100
2290132	slotMax	1	1	100
2290133	slotMax	1	1	100
2290134	slotMax	1	1	100
2290135	slotMax	1	1	100
2290136	slotMax	1	1	100
2290137	slotMax	1	1	100
2290138	slotMax	1	1	100
2290139	slotMax	1	1	100
3010045	only	-	-	1
4001094	only	-	-	1
4001094	quest	1	1	-
4001094	tradeBlock	1	1	-
4001111	quest	-	-	1
4001207	quest	-	-	1
4001372	quest	-	-	1
4001373	quest	-	-	1
4031061	only	-	-	1
4031061	quest	1	1	-
4031061	tradeBlock	-	-	1
4031062	only	-	-	1
4031062	quest	1	1	-
4031062	tradeBlock	-	-	1
4031209	quest	-	-	1
4031217	quest	1	1	-
4031523	quest	-	-	1
4031523	tradeBlock	1	1	-
4031524	quest	-	-	1
4031524	tradeBlock	1	1	-
4031527	quest	-	-	1
4031527	tradeBlock	1	1	-
4031901	price	1	1	1700
4031901	slotMax	1	1	100
4031901	notSale	1	1	-
4031901	tradeBlock	1	1	-
4031903	slotMax	1	1	-
4031906	price	1	1	1500
4031906	slotMax	1	1	100
4031906	notSale	1	1	-
4031906	tradeBlock	1	1	-
4031992	quest	-	-	1
4031992	notSale	1	1	-
4031992	tradeBlock	1	1	-
4032013	notSale	-	-	1
4032133	price	1	1	10000
4032133	tradeBlock	1	1	-
4032474	price	1	1	1500
