# mob id	stat	server value	v84 value  (shared ids only; server-read stats only)
# 1108 rows
8141300	mobType	3	-
8142000	elemAttr	H3I2F3	H3I2F3D2
8142000	mobType	6	-
8142100	mobType	3	-
8143000	elemAttr	H3F3I1	H3F3I1D2
8143000	mobType	6	-
8150000	hpTagColor	1	-
8150000	hpTagBgcolor	5	-
8150000	elemAttr	S1H3	S1H3D2
8150100	mobType	3	-
8150101	mobType	3	-
8150200	mobType	1	-
8150201	mobType	1	-
8150300	mobType	1	-
8150301	mobType	1	-
8150302	mobType	1	-
8170000	elemAttr	H3I2	H3I2D2
8170000	mobType	6	-
8190000	mobType	1	-
8190001	mobType	1	-
8190002	mobType	8	-
8190003	elemAttr	H3	H3D2
8190003	mobType	7	-
8190004	elemAttr	H3	H3D2
8190004	mobType	7	-
8190005	mobType	8	-
8220000	mobType	0	-
8220001	mobType	0	-
8220002	mobType	8	-
8220007	hpTagColor	1	-
8220007	hpTagBgcolor	5	-
8220009	hpTagColor	1	-
8220009	hpTagBgcolor	5	-
8500000	mobType	8	-
8500001	mobType	8	-
8500003	mobType	8	-
8500003	selfDestruction	-	
8500004	mobType	8	-
8500004	selfDestruction	-	
8510100	selfDestruction	-	
8520000	removeAfter	-	129600
8520000	mobType	3	-
8800000	mobType	6	-
8800001	mobType	6	-
8800003	mobType	6	-
8800004	mobType	6	-
8800005	mobType	6	-
8800006	mobType	6	-
8800007	mobType	6	-
8800008	mobType	6	-
8800009	mobType	6	-
8800010	mobType	6	-
8810000	mobType	1	-
8810001	mobType	1	-
8810002	mobType	1	-
8810003	mobType	1	-
8810004	mobType	1	-
8810005	mobType	1	-
8810006	mobType	1	-
8810007	mobType	1	-
8810008	mobType	1	-
8810009	mobType	1	-
8810010	mobType	1	-
8810011	mobType	1	-
8810012	mobType	1	-
8810013	mobType	1	-
8810014	mobType	1	-
8810015	mobType	1	-
8810016	mobType	1	-
8810017	mobType	1	-
8810018	boss	1	-
8810019	mobType	1	-
8810020	mobType	1	-
8810021	mobType	1	-
8810022	mobType	1	-
8810023	mobType	1	-
8810024	mobType	1	-
8810025	mobType	1	-
8810026	mobType	1	-
8820001	elemAttr	P2H2F2I2	P2H2F2I2D2
8820001	mobType	1	-
8820002	hpTagColor	1	-
8820002	hpTagBgcolor	5	-
8820002	elemAttr	H1F2L2I2	H1F2L2I2D2
8820002	mobType	1	-
8820003	hpTagColor	1	-
8820003	hpTagBgcolor	5	-
8820003	mobType	1	-
8820004	hpTagColor	1	-
8820004	hpTagBgcolor	5	-
8820004	mobType	1	-
8820005	hpTagColor	1	-
8820005	hpTagBgcolor	5	-
8820005	mobType	1	-
8820006	hpTagColor	1	-
8820006	hpTagBgcolor	5	-
8820006	mobType	1	-
8820010	boss	1	-
8820011	boss	1	-
8820012	boss	1	-
8820013	boss	1	-
8820014	boss	1	-
8820015	mobType	1	-
8820016	mobType	1	-
8820017	mobType	1	-
8820018	mobType	1	-
8830000	hpTagColor	1	-
8830000	hpTagBgcolor	5	-
8830000	mobType	1	-
8830003	boss	1	-
8830010	boss	1	-
9000001	mobType	1	-
9000002	mobType	4	-
9000100	mobType	0	-
9000101	mobType	0	-
9000200	mobType	1	-
9000201	elemAttr	H3	H3D2
9000201	mobType	7	-
9000300	mobType	1	-
9000301	mobType	4	-
9001000	hpTagColor	1	-
9001000	hpTagBgcolor	5	-
9001000	mobType	6	-
9001001	hpTagColor	1	-
9001001	hpTagBgcolor	5	-
9001001	mobType	6	-
9001002	hpTagColor	1	-
9001002	hpTagBgcolor	5	-
9001002	mobType	6	-
9001003	hpTagColor	1	-
9001003	hpTagBgcolor	5	-
9001003	mobType	6	-
9001004	hpTagColor	1	-
9001004	hpTagBgcolor	5	-
9001004	mobType	6	-
9001005	mobType	4	-
9001006	mobType	4	-
9001007	mobType	8	-
9001008	boss	1	-
9001008	hpTagColor	1	-
9001008	hpTagBgcolor	5	-
9001008	mobType	6	-
9001012	mobType	0	-
9001013	mobType	1	-
9100000	mobType	5	-
9100001	mobType	1	-
9100002	mobType	0	-
9100003	mobType	1	-
9100004	mobType	1	-
9100005	elemAttr	H2F3	H2F3D3
9100005	mobType	8	-
9100006	elemAttr	H2F3	H2F3D3
9100006	mobType	8	-
9100007	mobType	0	-
9100008	mobType	0	-
9100009	mobType	0	-
9100010	mobType	0	-
9100013	mobType	6	-
9200000	mobType	0	-
9200001	mobType	0	-
9200002	mobType	4	-
9200003	mobType	4	-
9200004	mobType	4	-
9200005	mobType	5	-
9200006	mobType	0	-
9200007	elemAttr	H3	H3D2
9200007	mobType	7	-
9200008	mobType	4	-
9200009	mobType	8	-
9200010	elemAttr	H3	H3D2
9200010	mobType	7	-
9200011	mobType	1	-
9200012	mobType	1	-
9200013	mobType	1	-
9200014	mobType	1	-
9200015	mobType	8	-
9200016	mobType	8	-
9200017	mobType	8	-
9200018	mobType	0	-
9200019	mobType	0	-
9200020	mobType	0	-
9200021	mobType	0	-
9200022	mobType	0	-
9300000	mobType	1	-
9300001	mobType	1	-
9300002	mobType	1	-
9300003	boss	1	-
9300003	hpTagColor	1	-
9300003	hpTagBgcolor	5	-
9300003	elemAttr	I2F2L2H2	I2F2L2H2D2
9300004	mobType	8	-
9300005	mobType	8	-
9300006	mobType	8	-
9300007	mobType	8	-
9300008	mobType	6	-
9300009	mobType	8	-
9300010	mobType	8	-
9300011	mobType	8	-
9300012	hpTagColor	1	-
9300012	hpTagBgcolor	5	-
9300012	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300013	mobType	8	-
9300014	elemAttr	I2L2F2H2	I2L2F2H2D2
9300014	mobType	6	-
9300015	mobType	5	-
9300016	mobType	5	-
9300017	mobType	5	-
9300018	mobType	8	-
9300019	mobType	8	-
9300020	mobType	8	-
9300021	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300021	mobType	8	-
9300022	elemAttr	H3S2	H3S2D2
9300022	mobType	6	-
9300023	elemAttr	H3S2	H3S2D2
9300023	mobType	6	-
9300024	elemAttr	I2F2L2S2H2	I2F2L2S2H2D2
9300024	mobType	8	-
9300025	elemAttr	I2F2L2S2H2	I2F2L2S2H2D2
9300025	mobType	8	-
9300026	mobType	8	-
9300027	mobType	6	-
9300028	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300029	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300029	mobType	8	-
9300030	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300030	mobType	8	-
9300031	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300031	mobType	8	-
9300032	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300032	mobType	8	-
9300033	mobType	8	-
9300034	elemAttr	H3S2	H3S2D2
9300034	mobType	6	-
9300035	mobType	8	-
9300036	elemAttr	H3S2	H3S2D2
9300036	mobType	6	-
9300037	elemAttr	H3S2	H3S2D2
9300037	mobType	6	-
9300038	elemAttr	H2	H2D3
9300038	mobType	7	-
9300039	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300040	mobType	0	-
9300041	mobType	0	-
9300042	mobType	0	-
9300043	mobType	0	-
9300044	elemAttr	S1H3	S1H3D2
9300044	mobType	0	-
9300045	mobType	5	-
9300046	elemAttr	H2	H2D3
9300046	mobType	5	-
9300047	elemAttr	I2F2L2H2	I2F2L2H2D2
9300047	mobType	5	-
9300049	mobType	4	-
9300050	mobType	5	-
9300051	mobType	0	-
9300052	mobType	0	-
9300053	mobType	0	-
9300054	mobType	5	-
9300055	elemAttr	H2	H2D3
9300055	mobType	5	-
9300056	elemAttr	I2F2L2H2	I2F2L2H2D2
9300056	mobType	5	-
9300057	mobType	0	-
9300058	mobType	0	-
9300059	mobType	0	-
9300060	mobType	0	-
9300061	mobType	0	-
9300062	mobType	0	-
9300063	mobType	0	-
9300064	mobType	6	-
9300065	mobType	1	-
9300066	mobType	1	-
9300067	mobType	1	-
9300068	mobType	1	-
9300069	mobType	1	-
9300070	mobType	1	-
9300071	mobType	1	-
9300072	mobType	1	-
9300073	mobType	1	-
9300074	mobType	1	-
9300075	elemAttr	H3	H3D2
9300075	mobType	7	-
9300076	elemAttr	H3	H3D2
9300076	mobType	7	-
9300077	elemAttr	H3	H3D2
9300077	mobType	7	-
9300078	mobType	1	-
9300079	mobType	8	-
9300080	mobType	6	-
9300081	mobType	0	-
9300082	mobType	0	-
9300083	mobType	6	-
9300084	elemAttr	I2L2F2H2	I2L2F2H2D2
9300084	mobType	6	-
9300085	elemAttr	S1H3	S1H3D2
9300085	mobType	6	-
9300086	elemAttr	F3I1L1S1H1P1	F3I1L1S1H1P1D1
9300086	mobType	6	-
9300087	mobType	6	-
9300088	mobType	6	-
9300089	mobType	2	-
9300090	mobType	2	-
9300091	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300091	mobType	8	-
9300092	elemAttr	S1H3	S1H3D2
9300092	mobType	6	-
9300094	elemAttr	S1H3	S1H3D2
9300094	mobType	6	-
9300095	mobType	0	-
9300096	mobType	5	-
9300097	mobType	3	-
9300098	elemAttr	F2H3	F2H3D2
9300098	mobType	7	-
9300099	mobType	3	-
9300100	elemAttr	I3F1L1S1H1P1	I3F1L1S1H1P1D1
9300100	mobType	6	-
9300101	mobType	0	-
9300102	mobType	0	-
9300103	mobType	5	-
9300104	mobType	5	-
9300105	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300106	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300107	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300108	mobType	8	-
9300109	mobType	8	-
9300110	mobType	4	-
9300111	mobType	4	-
9300112	mobType	4	-
9300113	mobType	4	-
9300114	mobType	1	-
9300115	mobType	6	-
9300116	mobType	6	-
9300117	mobType	6	-
9300118	mobType	6	-
9300119	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300120	mobType	1	-
9300121	mobType	6	-
9300122	mobType	6	-
9300123	mobType	1	-
9300124	mobType	6	-
9300125	mobType	6	-
9300126	mobType	8	-
9300127	mobType	8	-
9300128	mobType	8	-
9300129	mobType	8	-
9300130	mobType	5	-
9300131	mobType	8	-
9300132	mobType	5	-
9300133	mobType	8	-
9300134	mobType	8	-
9300135	mobType	5	-
9300136	mobType	8	-
9300140	mobType	8	-
9300141	mobType	8	-
9300142	mobType	8	-
9300143	mobType	8	-
9300144	mobType	8	-
9300145	mobType	8	-
9300146	mobType	7	-
9300147	mobType	8	-
9300148	mobType	8	-
9300149	mobType	8	-
9300150	mobType	8	-
9300151	mobType	8	-
9300152	mobType	8	-
9300153	mobType	8	-
9300154	mobType	8	-
9300155	mobType	0	-
9300157	mobType	0	-
9300160	mobType	1	-
9300161	mobType	1	-
9300163	mobType	0	-
9300164	mobType	5	-
9300165	mobType	0	-
9300166	selfDestruction	-	
9300169	mobType	8	-
9300170	mobType	8	-
9300171	mobType	8	-
9300174	mobType	4	-
9300184	mobType	0	-
9300185	mobType	4	-
9300186	mobType	4	-
9300187	elemAttr	I2F2L2H2	I2F2L2H2D2
9300192	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300193	mobType	8	-
9300194	mobType	1	-
9300195	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300196	mobType	7	-
9300197	mobType	1	-
9300198	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9300199	mobType	0	-
9300200	mobType	0	-
9300203	elemAttr	S1H3	S1H3D2
9300204	mobType	0	-
9300206	mobType	8	-
9300208	mobType	0	-
9300210	elemAttr	S1H3	S1H3D2
9300217	mobType	0	-
9300218	mobType	0	-
9300219	mobType	4	-
9300220	mobType	4	-
9300221	mobType	4	-
9300222	mobType	4	-
9300223	mobType	5	-
9300225	mobType	0	-
9300226	elemAttr	H3	H3D2
9300226	mobType	7	-
9300227	mobType	3	-
9300228	mobType	3	-
9300229	mobType	4	-
9300230	mobType	5	-
9300231	mobType	5	-
9300232	mobType	5	-
9300233	mobType	5	-
9300234	mobType	1	-
9300235	mobType	1	-
9300236	elemAttr	I2F2L2H2	I2F2L2H2D2
9300236	mobType	5	-
9300237	elemAttr	H2	H2D3
9300237	mobType	7	-
9300238	elemAttr	H3	H3D2
9300238	mobType	7	-
9300240	mobType	5	-
9300241	mobType	6	-
9300242	mobType	6	-
9300243	elemAttr	F3H3	F3H3D2
9300243	mobType	0	-
9300244	mobType	0	-
9300245	mobType	0	-
9300248	mobType	0	-
9300249	mobType	0	-
9300250	mobType	0	-
9300251	elemAttr	S1H3	S1H3D2
9300251	mobType	0	-
9300252	mobType	8	-
9300253	mobType	8	-
9300254	mobType	8	-
9300255	mobType	8	-
9300258	mobType	0	-
9300259	mobType	4	-
9300260	elemAttr	S1H3	S1H3D2
9300260	mobType	6	-
9300261	elemAttr	H3	H3D2
9300261	mobType	5	-
9300262	mobType	5	-
9300263	mobType	5	-
9300264	mobType	1	-
9300265	mobType	1	-
9300266	mobType	8	-
9300266	selfDestruction	-	
9300267	mobType	8	-
9300267	selfDestruction	-	
9300268	mobType	0	-
9300271	mobType	5	-
9300272	mobType	4	-
9300273	mobType	0	-
9300274	mobType	0	-
9300285	mobType	0	-
9300286	mobType	4	-
9300287	mobType	0	-
9300288	elemAttr	S1H3	S1H3D2
9300316	elemAttr	L2I2H3	L2I2H3D2
9300318	elemAttr	L2I1H3	L2I1H3D2
9300319	elemAttr	H3F3	H3F3D2
9300319	mobType	6	-
9300323	elemAttr	H3F3	H3F3D2
9300326	elemAttr	S1H3	S1H3D2
9300327	elemAttr	S1H3	S1H3D2
9300329	selfDestruction	-	
9300332	mobType	5	-
9300334	elemAttr	I2L2F2H2	I2L2F2H2D2
9300334	mobType	5	-
9300335	mobType	5	-
9300336	mobType	5	-
9300337	mobType	5	-
9300339	mobType	5	-
9300341	mobType	5	-
9300342	mobType	4	-
9300343	mobType	0	-
9300344	mobType	0	-
9300345	mobType	0	-
9300346	mobType	0	-
9300347	mobType	4	-
9300348	mobType	8	-
9300349	mobType	8	-
9300351	mobType	8	-
9300352	mobType	8	-
9300353	mobType	8	-
9300354	mobType	0	-
9300378	mobType	4	-
9300379	mobType	1	-
9300380	mobType	1	-
9300381	elemAttr	H3	H3D2
9300381	mobType	7	-
9300382	mobType	8	-
9303002	boss	1	-
9400003	elemAttr	H3F3I3	H3F3I3D2
9400013	elemAttr	S1H3	S1H3D2
9400014	hpTagColor	1	-
9400014	hpTagBgcolor	5	-
9400112	hpTagColor	1	-
9400112	hpTagBgcolor	5	-
9400113	hpTagColor	1	-
9400113	hpTagBgcolor	5	-
9400120	hpTagColor	1	-
9400120	hpTagBgcolor	5	-
9400121	hpTagColor	1	-
9400121	hpTagBgcolor	5	-
9400122	hpTagColor	1	-
9400122	hpTagBgcolor	5	-
9400205	hpTagColor	1	-
9400205	hpTagBgcolor	5	-
9400300	hpTagColor	1	-
9400300	hpTagBgcolor	5	-
9400547	selfDestruction	-	
9400549	hpTagColor	1	-
9400549	hpTagBgcolor	5	-
9400550	selfDestruction	-	
9400566	selfDestruction	-	
9400589	maxHP	17000000	400000
9400589	maxMP	2000	200
9400589	level	180	30
9400589	exp	60000	500
9400589	PADamage	650	150
9400589	PDDamage	1000	500
9400589	MADamage	780	20
9400589	MDDamage	1100	450
9400589	acc	300	1000
9400589	eva	50	10
9400589	pushed	42000	3000
9400589	hpTagColor	1	-
9400589	hpTagBgcolor	5	-
9400589	hpRecovery	20000	2000
9400606	boss	1	-
9400606	hpTagColor	1	-
9400606	hpTagBgcolor	5	-
9400638	firstAttack	0	1
9400639	firstAttack	0	1
9400640	firstAttack	0	1
9400739	maxHP	200000	2000
9400739	maxMP	1000	100
9400739	level	140	8
9400739	exp	5000	50
9400739	PADamage	200	100
9400739	PDDamage	1000	100
9400739	MADamage	400	10
9400739	MDDamage	500	70
9400739	acc	210	1000
9400739	eva	45	15
9400739	pushed	5000	500
9400739	hpRecovery	1000	10
9400740	maxHP	200000	2000
9400740	maxMP	1000	100
9400740	level	140	8
9400740	exp	5000	50
9400740	PADamage	400	100
9400740	PDDamage	500	100
9400740	MADamage	200	10
9400740	MDDamage	1000	75
9400740	acc	210	1000
9400740	eva	50	20
9400740	pushed	3000	300
9400740	hpRecovery	2000	20
9400741	maxHP	120000	1200
9400741	level	140	10
9400741	exp	5000	50
9400741	PADamage	420	60
9400741	PDDamage	650	85
9400741	MDDamage	500	95
9400741	acc	180	60
9400741	eva	30	9
9400741	pushed	5000	50
9400742	maxHP	140000	1400
9400742	level	140	10
9400742	exp	6000	60
9400742	PADamage	440	65
9400742	PDDamage	770	90
9400742	MDDamage	700	98
9400742	acc	180	65
9400742	eva	30	9
9400742	pushed	5000	50
9400743	maxHP	160000	1600
9400743	maxMP	300	30
9400743	level	140	10
