category	archive	image	decision	mergePath	note
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040733	
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040734	
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040735	
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040736	
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040737	
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040738	
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	A-MERGE-BOTH	Item.wz/Consume/0204.img/02040739	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04000313	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001015	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001016	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001018	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001022	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001023	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001094	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001106	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001111	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001207	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001256	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001257	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001258	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001259	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001260	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001372	
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	A-MERGE-BOTH	Item.wz/Etc/0400.img/04001373	
A DISJOINT at child level	Item	Item.wz/Install/0301.img	A-MERGE-BOTH	Item.wz/Install/0301.img/03010045	
A DISJOINT at child level	Map	Map.wz/MapHelper.img	A-MERGE-BOTH	Map.wz/MapHelper.img/AvatarMegaphone	
A DISJOINT at child level	Mob	Mob.wz/6300005.img	A-MERGE-BOTH	Mob.wz/6300005.img/die1	SKIPPED: phase-B tree already holds his value here (see SKIP in resolve-conflicts-lists.py)
A DISJOINT at child level	Mob	Mob.wz/9300196.img	A-MERGE-BOTH	Mob.wz/9300196.img/die1	
A DISJOINT at child level	String	String.wz/Pet.img	A-MERGE-BOTH	String.wz/Pet.img/5000040	
A DISJOINT at child level	String	String.wz/Pet.img	A-MERGE-BOTH	String.wz/Pet.img/5000043	
A DISJOINT at child level	String	String.wz/Pet.img	A-MERGE-BOTH	String.wz/Pet.img/5000046	
B DISJOINT at field level	Character	Character.wz/Cap/01002728.img	B-MERGE-BOTH	Character.wz/Cap/01002728.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Cap/01002728.img	B-MERGE-BOTH	Character.wz/Cap/01002728.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Cap/01002728.img	B-MERGE-BOTH	Character.wz/Cap/01002728.img/info/level	
B DISJOINT at field level	Character	Character.wz/Cap/01002784.img	B-MERGE-BOTH	Character.wz/Cap/01002784.img/walk2/0	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050131.img	B-MERGE-BOTH	Character.wz/Longcoat/01050131.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050131.img	B-MERGE-BOTH	Character.wz/Longcoat/01050131.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050132.img	B-MERGE-BOTH	Character.wz/Longcoat/01050132.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050132.img	B-MERGE-BOTH	Character.wz/Longcoat/01050132.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050133.img	B-MERGE-BOTH	Character.wz/Longcoat/01050133.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050133.img	B-MERGE-BOTH	Character.wz/Longcoat/01050133.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050134.img	B-MERGE-BOTH	Character.wz/Longcoat/01050134.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01050134.img	B-MERGE-BOTH	Character.wz/Longcoat/01050134.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051150.img	B-MERGE-BOTH	Character.wz/Longcoat/01051150.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051150.img	B-MERGE-BOTH	Character.wz/Longcoat/01051150.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051151.img	B-MERGE-BOTH	Character.wz/Longcoat/01051151.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051151.img	B-MERGE-BOTH	Character.wz/Longcoat/01051151.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051152.img	B-MERGE-BOTH	Character.wz/Longcoat/01051152.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051152.img	B-MERGE-BOTH	Character.wz/Longcoat/01051152.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051153.img	B-MERGE-BOTH	Character.wz/Longcoat/01051153.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Longcoat/01051153.img	B-MERGE-BOTH	Character.wz/Longcoat/01051153.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Weapon/01382025.img	B-MERGE-BOTH	Character.wz/Weapon/01382025.img/info/icon	
B DISJOINT at field level	Character	Character.wz/Weapon/01382025.img	B-MERGE-BOTH	Character.wz/Weapon/01382025.img/info/iconRaw	
B DISJOINT at field level	Character	Character.wz/Weapon/01382025.img	B-MERGE-BOTH	Character.wz/Weapon/01382025.img/info/level	
B DISJOINT at field level	Etc	Etc.wz/ItemMake.img	B-MERGE-BOTH	Etc.wz/ItemMake.img/0/04260007	
B DISJOINT at field level	Etc	Etc.wz/ItemMake.img	B-MERGE-BOTH	Etc.wz/ItemMake.img/0/04260008	
B DISJOINT at field level	Etc	Etc.wz/ItemMake.img	B-MERGE-BOTH	Etc.wz/ItemMake.img/2/01072362	
B DISJOINT at field level	Etc	Etc.wz/ItemMake.img	B-MERGE-BOTH	Etc.wz/ItemMake.img/2/01382008	
B DISJOINT at field level	Mob	Mob.wz/3300005.img	B-MERGE-BOTH	Mob.wz/3300005.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/3300006.img	B-MERGE-BOTH	Mob.wz/3300006.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/3300007.img	B-MERGE-BOTH	Mob.wz/3300007.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/4130103.img	B-MERGE-BOTH	Mob.wz/4130103.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/4130103.img	B-MERGE-BOTH	Mob.wz/4130103.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/4130103.img	B-MERGE-BOTH	Mob.wz/4130103.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/5090000.img	B-MERGE-BOTH	Mob.wz/5090000.img/info/eva	
B DISJOINT at field level	Mob	Mob.wz/5090000.img	B-MERGE-BOTH	Mob.wz/5090000.img/info/exp	
B DISJOINT at field level	Mob	Mob.wz/5090000.img	B-MERGE-BOTH	Mob.wz/5090000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/5090000.img	B-MERGE-BOTH	Mob.wz/5090000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/5090000.img	B-MERGE-BOTH	Mob.wz/5090000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/5090000.img	B-MERGE-BOTH	Mob.wz/5090000.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/eva	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/exp	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/level	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/5090001.img	B-MERGE-BOTH	Mob.wz/5090001.img/info/maxMP	
B DISJOINT at field level	Mob	Mob.wz/5120100.img	B-MERGE-BOTH	Mob.wz/5120100.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/5120100.img	B-MERGE-BOTH	Mob.wz/5120100.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/5120100.img	B-MERGE-BOTH	Mob.wz/5120100.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/6090000.img	B-MERGE-BOTH	Mob.wz/6090000.img/info/exp	
B DISJOINT at field level	Mob	Mob.wz/6090000.img	B-MERGE-BOTH	Mob.wz/6090000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/6090000.img	B-MERGE-BOTH	Mob.wz/6090000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/6090000.img	B-MERGE-BOTH	Mob.wz/6090000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/6090000.img	B-MERGE-BOTH	Mob.wz/6090000.img/info/level	
B DISJOINT at field level	Mob	Mob.wz/6090001.img	B-MERGE-BOTH	Mob.wz/6090001.img/info/exp	
B DISJOINT at field level	Mob	Mob.wz/6090001.img	B-MERGE-BOTH	Mob.wz/6090001.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/6090001.img	B-MERGE-BOTH	Mob.wz/6090001.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/6090001.img	B-MERGE-BOTH	Mob.wz/6090001.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/eva	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/exp	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/6090002.img	B-MERGE-BOTH	Mob.wz/6090002.img/info/maxMP	
B DISJOINT at field level	Mob	Mob.wz/6090003.img	B-MERGE-BOTH	Mob.wz/6090003.img/info/exp	
B DISJOINT at field level	Mob	Mob.wz/6090003.img	B-MERGE-BOTH	Mob.wz/6090003.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/6090003.img	B-MERGE-BOTH	Mob.wz/6090003.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/6090003.img	B-MERGE-BOTH	Mob.wz/6090003.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/6090004.img	B-MERGE-BOTH	Mob.wz/6090004.img/info/eva	
B DISJOINT at field level	Mob	Mob.wz/6090004.img	B-MERGE-BOTH	Mob.wz/6090004.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/6090004.img	B-MERGE-BOTH	Mob.wz/6090004.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/6090004.img	B-MERGE-BOTH	Mob.wz/6090004.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/6090004.img	B-MERGE-BOTH	Mob.wz/6090004.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/7090000.img	B-MERGE-BOTH	Mob.wz/7090000.img/info/eva	
B DISJOINT at field level	Mob	Mob.wz/7090000.img	B-MERGE-BOTH	Mob.wz/7090000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/7090000.img	B-MERGE-BOTH	Mob.wz/7090000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/7090000.img	B-MERGE-BOTH	Mob.wz/7090000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/7090000.img	B-MERGE-BOTH	Mob.wz/7090000.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/7120100.img	B-MERGE-BOTH	Mob.wz/7120100.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/7120100.img	B-MERGE-BOTH	Mob.wz/7120100.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/7120100.img	B-MERGE-BOTH	Mob.wz/7120100.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/7120100.img	B-MERGE-BOTH	Mob.wz/7120100.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/7120101.img	B-MERGE-BOTH	Mob.wz/7120101.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/7120101.img	B-MERGE-BOTH	Mob.wz/7120101.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/7120101.img	B-MERGE-BOTH	Mob.wz/7120101.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/7120101.img	B-MERGE-BOTH	Mob.wz/7120101.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/7120102.img	B-MERGE-BOTH	Mob.wz/7120102.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/7120102.img	B-MERGE-BOTH	Mob.wz/7120102.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/7120102.img	B-MERGE-BOTH	Mob.wz/7120102.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/7120102.img	B-MERGE-BOTH	Mob.wz/7120102.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/8090000.img	B-MERGE-BOTH	Mob.wz/8090000.img/info/eva	
B DISJOINT at field level	Mob	Mob.wz/8090000.img	B-MERGE-BOTH	Mob.wz/8090000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8090000.img	B-MERGE-BOTH	Mob.wz/8090000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8090000.img	B-MERGE-BOTH	Mob.wz/8090000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8090000.img	B-MERGE-BOTH	Mob.wz/8090000.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/8120100.img	B-MERGE-BOTH	Mob.wz/8120100.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8120100.img	B-MERGE-BOTH	Mob.wz/8120100.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8120100.img	B-MERGE-BOTH	Mob.wz/8120100.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8120100.img	B-MERGE-BOTH	Mob.wz/8120100.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/8120101.img	B-MERGE-BOTH	Mob.wz/8120101.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8120101.img	B-MERGE-BOTH	Mob.wz/8120101.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8120101.img	B-MERGE-BOTH	Mob.wz/8120101.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8120101.img	B-MERGE-BOTH	Mob.wz/8120101.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/8140510.img	B-MERGE-BOTH	Mob.wz/8140510.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8140510.img	B-MERGE-BOTH	Mob.wz/8140510.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8140510.img	B-MERGE-BOTH	Mob.wz/8140510.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8140510.img	B-MERGE-BOTH	Mob.wz/8140510.img/info/maxHP	
B DISJOINT at field level	Mob	Mob.wz/8150000.img	B-MERGE-BOTH	Mob.wz/8150000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8150000.img	B-MERGE-BOTH	Mob.wz/8150000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8150000.img	B-MERGE-BOTH	Mob.wz/8150000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8220007.img	B-MERGE-BOTH	Mob.wz/8220007.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8220007.img	B-MERGE-BOTH	Mob.wz/8220007.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8220007.img	B-MERGE-BOTH	Mob.wz/8220007.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8220009.img	B-MERGE-BOTH	Mob.wz/8220009.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8220009.img	B-MERGE-BOTH	Mob.wz/8220009.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8220009.img	B-MERGE-BOTH	Mob.wz/8220009.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8520000.img	B-MERGE-BOTH	Mob.wz/8520000.img/info/removeAfter	
B DISJOINT at field level	Mob	Mob.wz/8810018.img	B-MERGE-BOTH	Mob.wz/8810018.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8820000.img	B-MERGE-BOTH	Mob.wz/8820000.img/info/revive	
B DISJOINT at field level	Mob	Mob.wz/8820002.img	B-MERGE-BOTH	Mob.wz/8820002.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8820002.img	B-MERGE-BOTH	Mob.wz/8820002.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8820002.img	B-MERGE-BOTH	Mob.wz/8820002.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8820003.img	B-MERGE-BOTH	Mob.wz/8820003.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8820003.img	B-MERGE-BOTH	Mob.wz/8820003.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8820003.img	B-MERGE-BOTH	Mob.wz/8820003.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8820003.img	B-MERGE-BOTH	Mob.wz/8820003.img/info/revive	
B DISJOINT at field level	Mob	Mob.wz/8820004.img	B-MERGE-BOTH	Mob.wz/8820004.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8820004.img	B-MERGE-BOTH	Mob.wz/8820004.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8820004.img	B-MERGE-BOTH	Mob.wz/8820004.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8820004.img	B-MERGE-BOTH	Mob.wz/8820004.img/info/revive	
B DISJOINT at field level	Mob	Mob.wz/8820005.img	B-MERGE-BOTH	Mob.wz/8820005.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8820005.img	B-MERGE-BOTH	Mob.wz/8820005.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8820005.img	B-MERGE-BOTH	Mob.wz/8820005.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8820005.img	B-MERGE-BOTH	Mob.wz/8820005.img/info/revive	
B DISJOINT at field level	Mob	Mob.wz/8820006.img	B-MERGE-BOTH	Mob.wz/8820006.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8820006.img	B-MERGE-BOTH	Mob.wz/8820006.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8820006.img	B-MERGE-BOTH	Mob.wz/8820006.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8820006.img	B-MERGE-BOTH	Mob.wz/8820006.img/info/revive	
B DISJOINT at field level	Mob	Mob.wz/8820010.img	B-MERGE-BOTH	Mob.wz/8820010.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8820011.img	B-MERGE-BOTH	Mob.wz/8820011.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8820012.img	B-MERGE-BOTH	Mob.wz/8820012.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8820013.img	B-MERGE-BOTH	Mob.wz/8820013.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8820014.img	B-MERGE-BOTH	Mob.wz/8820014.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8830000.img	B-MERGE-BOTH	Mob.wz/8830000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/8830000.img	B-MERGE-BOTH	Mob.wz/8830000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/8830000.img	B-MERGE-BOTH	Mob.wz/8830000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/8830003.img	B-MERGE-BOTH	Mob.wz/8830003.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/8830010.img	B-MERGE-BOTH	Mob.wz/8830010.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/9001000.img	B-MERGE-BOTH	Mob.wz/9001000.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/9001000.img	B-MERGE-BOTH	Mob.wz/9001000.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/9001000.img	B-MERGE-BOTH	Mob.wz/9001000.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/9001001.img	B-MERGE-BOTH	Mob.wz/9001001.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/9001001.img	B-MERGE-BOTH	Mob.wz/9001001.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/9001001.img	B-MERGE-BOTH	Mob.wz/9001001.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/9001002.img	B-MERGE-BOTH	Mob.wz/9001002.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/9001002.img	B-MERGE-BOTH	Mob.wz/9001002.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/9001002.img	B-MERGE-BOTH	Mob.wz/9001002.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/9001003.img	B-MERGE-BOTH	Mob.wz/9001003.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/9001003.img	B-MERGE-BOTH	Mob.wz/9001003.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/9001003.img	B-MERGE-BOTH	Mob.wz/9001003.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/9001004.img	B-MERGE-BOTH	Mob.wz/9001004.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/9001004.img	B-MERGE-BOTH	Mob.wz/9001004.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/9001004.img	B-MERGE-BOTH	Mob.wz/9001004.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/9001008.img	B-MERGE-BOTH	Mob.wz/9001008.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/9001008.img	B-MERGE-BOTH	Mob.wz/9001008.img/info/HPgaugeHide	
B DISJOINT at field level	Mob	Mob.wz/9001008.img	B-MERGE-BOTH	Mob.wz/9001008.img/info/hpTagBgcolor	
B DISJOINT at field level	Mob	Mob.wz/9001008.img	B-MERGE-BOTH	Mob.wz/9001008.img/info/hpTagColor	
B DISJOINT at field level	Mob	Mob.wz/9300003.img	B-MERGE-BOTH	Mob.wz/9300003.img/info/boss	
B DISJOINT at field level	Mob	Mob.wz/9300003.img	B-MERGE-BOTH	Mob.wz/9300003.img/info/HPgaugeHide	
