category	archive	image	decision	fieldsMovedToHis	fieldsLeftAsIs	unappliedDeletions	standingHis	standingV84	standingV84PlusHisAdditive	vacuousChecks	wrong	outcome
B DISJOINT at field level	Mob	Mob.wz/9001000.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9001001.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9001002.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9001003.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9001004.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9001008.img	MERGE-BOTH	4	2	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9300003.img	MERGE-BOTH	4	2	0	4	2	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9300012.img	MERGE-BOTH	3	2	0	3	2	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9300093.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Mob	Mob.wz/9300196.img	MERGE-BOTH	1	1	0	1	0	1	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
B DISJOINT at field level	Mob	Mob.wz/9303002.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9400014.img	MERGE-BOTH	3	1	0	3	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9400205.img	MERGE-BOTH	3	1	0	3	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9500340.img	MERGE-BOTH	5	2	0	5	2	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/9500343.img	MERGE-BOTH	3	2	1	3	3	0	0	0	VERIFIED BY CONTENT; 1 of his DELETIONS not applied (tool cannot delete)
B DISJOINT at field level	Mob	Mob.wz/9500358.img	MERGE-BOTH	3	2	0	3	2	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Quest	Quest.wz/Act.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Quest	Quest.wz/Check.img	TAKE-V84	0	93	0	0	93	0	1	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Quest	Quest.wz/QuestInfo.img	TAKE-V84	0	4	0	0	4	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Quest	Quest.wz/Say.img	TAKE-V84	0	5	0	0	5	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Skill	Skill.wz/000.img	MERGE-BOTH	2	9	0	2	9	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Skill	Skill.wz/1000.img	MERGE-BOTH	3	9	0	3	9	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Skill	Skill.wz/2000.img	MERGE-BOTH	2	9	0	2	9	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Skill	Skill.wz/MobSkill.img	TAKE-V84	0	1	0	0	1	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	String	String.wz/Cash.img	TAKE-V84	0	10	0	0	10	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	String	String.wz/Consume.img	TAKE-V84	0	155	0	0	155	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	String	String.wz/Eqp.img	TAKE-V84	0	14	0	0	8	6	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	String	String.wz/Etc.img	TAKE-V84	0	4	0	0	4	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	String	String.wz/Ins.img	TAKE-V84	0	4	0	0	4	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	String	String.wz/Map.img	MERGE-BOTH	25	115	0	25	115	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	String	String.wz/MonsterBook.img	TAKE-V84	0	224	0	0	171	53	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
D WHOLESALE (overlap too wide to drill)	String	String.wz/Npc.img	TAKE-V84	0	145	0	0	82	63	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
A DISJOINT at child level	String	String.wz/Pet.img	MERGE-BOTH	0	1	3	0	4	0	0	0	VERIFIED BY CONTENT; 3 of his DELETIONS not applied (tool cannot delete)
D WHOLESALE (overlap too wide to drill)	String	String.wz/Skill.img	TAKE-V84	0	71	0	0	71	0	70	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	UI	UI.wz/UIWindow.img	TAKE-V84	0	13	0	0	11	2	10	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
