array	rows	sets	categories	sample_row
String.wz/MonsterBook.img/210100/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/210100/reward/18
String.wz/MonsterBook.img/4230115/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/4230115/reward/35
String.wz/MonsterBook.img/8150300/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/8150300/reward/31
String.wz/MonsterBook.img/8150302/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/8150302/reward/37
String.wz/MonsterBook.img/8160000/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/8160000/reward/37
String.wz/MonsterBook.img/8510000/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/8510000/reward/51
String.wz/MonsterBook.img/8800002/reward	13	{'protect': 13}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 12}	String.wz/MonsterBook.img/8800002/reward/74
String.wz/MonsterBook.img/6230400/reward	12	{'protect': 12}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 11}	String.wz/MonsterBook.img/6230400/reward/44
String.wz/MonsterBook.img/8170000/reward	12	{'protect': 12}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 11}	String.wz/MonsterBook.img/8170000/reward/40
String.wz/MonsterBook.img/8190003/reward	12	{'protect': 12}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 11}	String.wz/MonsterBook.img/8190003/reward/41
String.wz/MonsterBook.img/3230306/reward	11	{'protect': 11}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 10}	String.wz/MonsterBook.img/3230306/reward/32
String.wz/MonsterBook.img/8143000/reward	11	{'protect': 11}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 10}	String.wz/MonsterBook.img/8143000/reward/36
String.wz/MonsterBook.img/8150301/reward	11	{'protect': 11}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 10}	String.wz/MonsterBook.img/8150301/reward/28
String.wz/MonsterBook.img/1140100/reward	10	{'protect': 10}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 9}	String.wz/MonsterBook.img/1140100/reward/25
String.wz/MonsterBook.img/130100/reward	10	{'protect': 10}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 9}	String.wz/MonsterBook.img/130100/reward/15
String.wz/MonsterBook.img/6130100/reward	10	{'protect': 10}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 9}	String.wz/MonsterBook.img/6130100/reward/38
String.wz/MonsterBook.img/6230601/reward	10	{'protect': 10}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 9}	String.wz/MonsterBook.img/6230601/reward/34
String.wz/MonsterBook.img/8150100/reward	10	{'protect': 10}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 9}	String.wz/MonsterBook.img/8150100/reward/33
String.wz/MonsterBook.img/8150101/reward	10	{'protect': 10}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 9}	String.wz/MonsterBook.img/8150101/reward/36
Map.wz/Map/Map1/102000000.img/life	9	{'removed': 1, 'protect': 8}	{'ARRAY: writes INTO an existing slot': 9}	Map.wz/Map/Map1/102000000.img/life/24/limitedname
Map.wz/Map/Map2/261000000.img/portal	9	{'removed': 9}	{'ARRAY: writes INTO an existing slot': 9}	Map.wz/Map/Map2/261000000.img/portal/15/image
Quest.wz/Say.img/8251	9	{'protect': 9}	{'ARRAY: writes INTO an existing slot': 9}	Quest.wz/Say.img/8251/0/0
String.wz/MonsterBook.img/1120100/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/1120100/reward/17
String.wz/MonsterBook.img/1210100/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/1210100/reward/18
String.wz/MonsterBook.img/1210103/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/1210103/reward/25
String.wz/MonsterBook.img/2230109/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/2230109/reward/24
String.wz/MonsterBook.img/3110100/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/3110100/reward/25
String.wz/MonsterBook.img/3230100/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/3230100/reward/30
String.wz/MonsterBook.img/3230102/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/3230102/reward/34
String.wz/MonsterBook.img/5130100/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/5130100/reward/34
String.wz/MonsterBook.img/6300000/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/6300000/reward/27
String.wz/MonsterBook.img/8180000/reward	9	{'protect': 9}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 8}	String.wz/MonsterBook.img/8180000/reward/60
Map.wz/Map/Map2/250000000.img/portal	8	{'removed': 8}	{'ARRAY: writes INTO an existing slot': 8}	Map.wz/Map/Map2/250000000.img/portal/11/image
Quest.wz/Say.img/8255	8	{'protect': 8}	{'ARRAY: writes INTO an existing slot': 8}	Quest.wz/Say.img/8255/0/0
String.wz/MonsterBook.img/1210102/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/1210102/reward/16
String.wz/MonsterBook.img/2230101/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/2230101/reward/31
String.wz/MonsterBook.img/4230114/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/4230114/reward/29
String.wz/MonsterBook.img/5120003/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/5120003/reward/35
String.wz/MonsterBook.img/6220001/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/6220001/reward/29
String.wz/MonsterBook.img/6230100/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/6230100/reward/41
String.wz/MonsterBook.img/6230300/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/6230300/reward/36
String.wz/MonsterBook.img/6300005/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/6300005/reward/26
String.wz/MonsterBook.img/7110301/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/7110301/reward/37
String.wz/MonsterBook.img/7160000/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/7160000/reward/41
String.wz/MonsterBook.img/8150000/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/8150000/reward/36
String.wz/MonsterBook.img/8200003/reward	8	{'protect': 8}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 7}	String.wz/MonsterBook.img/8200003/reward/27
Map.wz/Map/Map1/102000000.img/portal	7	{'removed': 7}	{'ARRAY: writes INTO an existing slot': 7}	Map.wz/Map/Map1/102000000.img/portal/14/image
Map.wz/Map/Map2/220000000.img/portal	7	{'removed': 7}	{'ARRAY: writes INTO an existing slot': 7}	Map.wz/Map/Map2/220000000.img/portal/12/script
Quest.wz/Say.img/8222	7	{'protect': 7}	{'ARRAY: writes INTO an existing slot': 7}	Quest.wz/Say.img/8222/0/0
String.wz/MonsterBook.img/130101/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/130101/reward/17
String.wz/MonsterBook.img/2230103/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/2230103/reward/25
String.wz/MonsterBook.img/4230113/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/4230113/reward/29
String.wz/MonsterBook.img/4230124/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/4230124/reward/31
String.wz/MonsterBook.img/5110302/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/5110302/reward/26
String.wz/MonsterBook.img/5200000/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/5200000/reward/19
String.wz/MonsterBook.img/5220003/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/5220003/reward/53
String.wz/MonsterBook.img/6130209/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/6130209/reward/24
String.wz/MonsterBook.img/7130100/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/7130100/reward/34
String.wz/MonsterBook.img/7130101/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/7130101/reward/33
String.wz/MonsterBook.img/8140110/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/8140110/reward/23
String.wz/MonsterBook.img/8141000/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/8141000/reward/41
String.wz/MonsterBook.img/8190004/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/8190004/reward/44
String.wz/MonsterBook.img/8220003/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/8220003/reward/36
String.wz/MonsterBook.img/8220004/reward	7	{'protect': 7}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 6}	String.wz/MonsterBook.img/8220004/reward/32
Etc.wz/NpcLocation.img/1022101	6	{'removed': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	Etc.wz/NpcLocation.img/1022101/17
Map.wz/Map/Map1/103000000.img/portal	6	{'removed': 6}	{'ARRAY: writes INTO an existing slot': 6}	Map.wz/Map/Map1/103000000.img/portal/23/image
Map.wz/Map/Map1/106010102.img/life	6	{'removed': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	Map.wz/Map/Map1/106010102.img/life/11
Map.wz/Map/Map1/120000000.img/portal	6	{'removed': 6}	{'ARRAY: writes INTO an existing slot': 6}	Map.wz/Map/Map1/120000000.img/portal/10/delay
Map.wz/Map/Map1/130000101.img/foothold	6	{'removed': 6}	{'ARRAY: writes INTO an existing slot': 6}	Map.wz/Map/Map1/130000101.img/foothold/2/39
Map.wz/Map/Map1/103000000.img/life	6	{'protect': 6}	{'ARRAY: writes INTO an existing slot': 6}	Map.wz/Map/Map1/103000000.img/life/17/limitedname
String.wz/MonsterBook.img/100100/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/100100/reward/10
String.wz/MonsterBook.img/100101/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/100101/reward/13
String.wz/MonsterBook.img/1110101/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/1110101/reward/26
String.wz/MonsterBook.img/2220100/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/2220100/reward/30
String.wz/MonsterBook.img/2230100/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/2230100/reward/30
String.wz/MonsterBook.img/2230106/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/2230106/reward/24
String.wz/MonsterBook.img/2230110/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/2230110/reward/26
String.wz/MonsterBook.img/3220000/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/3220000/reward/54
String.wz/MonsterBook.img/3300007/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/3300007/reward/74
String.wz/MonsterBook.img/3300008/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/3300008/reward/57
String.wz/MonsterBook.img/4130101/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/4130101/reward/28
String.wz/MonsterBook.img/4230102/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/4230102/reward/30
String.wz/MonsterBook.img/4230119/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/4230119/reward/34
String.wz/MonsterBook.img/4230300/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/4230300/reward/28
String.wz/MonsterBook.img/4230502/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/4230502/reward/24
String.wz/MonsterBook.img/5130107/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/5130107/reward/34
String.wz/MonsterBook.img/5220002/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/5220002/reward/48
String.wz/MonsterBook.img/5300100/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/5300100/reward/30
String.wz/MonsterBook.img/6130101/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/6130101/reward/26
String.wz/MonsterBook.img/6230500/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/6230500/reward/32
String.wz/MonsterBook.img/6230602/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/6230602/reward/35
String.wz/MonsterBook.img/6400000/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/6400000/reward/30
String.wz/MonsterBook.img/7130200/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/7130200/reward/37
String.wz/MonsterBook.img/7140000/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/7140000/reward/34
String.wz/MonsterBook.img/7220000/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/7220000/reward/54
String.wz/MonsterBook.img/7220001/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/7220001/reward/58
String.wz/MonsterBook.img/8130100/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/8130100/reward/40
String.wz/MonsterBook.img/8150201/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/8150201/reward/42
String.wz/MonsterBook.img/8190000/reward	6	{'protect': 6}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 5}	String.wz/MonsterBook.img/8190000/reward/37
Map.wz/Map/Map2/260000000.img/portal	5	{'removed': 5}	{'ARRAY: writes INTO an existing slot': 5}	Map.wz/Map/Map2/260000000.img/portal/19/image
Quest.wz/Say.img/29510	5	{'protect': 5}	{'ARRAY: writes INTO an existing slot': 5}	Quest.wz/Say.img/29510/0/0
String.wz/MonsterBook.img/1110130/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/1110130/reward/30
String.wz/MonsterBook.img/1130100/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/1130100/reward/24
String.wz/MonsterBook.img/1140130/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/1140130/reward/25
String.wz/MonsterBook.img/1210101/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/1210101/reward/24
String.wz/MonsterBook.img/2130100/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/2130100/reward/26
String.wz/MonsterBook.img/2230107/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/2230107/reward/22
String.wz/MonsterBook.img/2230200/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/2230200/reward/21
String.wz/MonsterBook.img/3000005/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/3000005/reward/21
String.wz/MonsterBook.img/3110303/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/3110303/reward/36
String.wz/MonsterBook.img/3210100/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/3210100/reward/32
String.wz/MonsterBook.img/3210205/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/3210205/reward/30
String.wz/MonsterBook.img/3210450/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/3210450/reward/29
String.wz/MonsterBook.img/3230200/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/3230200/reward/35
String.wz/MonsterBook.img/4220000/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/4220000/reward/38
String.wz/MonsterBook.img/4230101/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/4230101/reward/39
String.wz/MonsterBook.img/5120506/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/5120506/reward/31
String.wz/MonsterBook.img/5130102/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/5130102/reward/34
String.wz/MonsterBook.img/5130104/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/5130104/reward/35
String.wz/MonsterBook.img/5400000/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/5400000/reward/33
String.wz/MonsterBook.img/6110300/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/6110300/reward/35
String.wz/MonsterBook.img/6220000/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/6220000/reward/46
String.wz/MonsterBook.img/6230600/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/6230600/reward/37
String.wz/MonsterBook.img/7220002/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/7220002/reward/48
String.wz/MonsterBook.img/8140703/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/8140703/reward/24
String.wz/MonsterBook.img/8141100/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/8141100/reward/38
String.wz/MonsterBook.img/8142100/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/8142100/reward/37
String.wz/MonsterBook.img/8200001/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/8200001/reward/27
String.wz/MonsterBook.img/8200004/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/8200004/reward/29
String.wz/MonsterBook.img/8220002/reward	5	{'protect': 5}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 4}	String.wz/MonsterBook.img/8220002/reward/42
Etc.wz/NpcLocation.img/9000036	4	{'removed': 4}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 3}	Etc.wz/NpcLocation.img/9000036/11
