# Generated by tools/v84/derive-decode-models.py - DO NOT EDIT BY HAND.
# Structure from the hand-annotated gms_v83 IDA export; genuine v84 deltas applied from
# V84_DELTAS in that script. kinds: 1/2/4/8 = Decode1/2/4/8, s = DecodeStr, bN = N bytes.
# Only `verified` rows are loaded by the Java harness - see PROMOTED in the script.
# status	model	opcode	ida_symbol	fields
candidate	SET_OBJECT_STATE	156	CField::OnSetObjectState	f0:s,f1:4
candidate	SHEEP_RANCH_INFO	306	CField_Battlefield::OnScoreUpdate	f0:1,f1:1
candidate	SHOP_LINK_RESULT	73	CWvsContext::OnShopLinkResult	code (switch  0 success/1 closed/2 full/3 busy/4 dead/7 no-t:1
verified	SHOW_CHAIR	200	CUserRemote::OnSetActivePortableChair	characterId (consumed by CUserPool  OnUserRemotePacket):4,m_nPortableChairID (chairId):4
verified	SHOW_COMBO	230	CUserLocal::OnIncComboResponse	count (CUserLocal  OnIncComboResponse  Decode4 store to the :4
verified	SHOW_MONSTER_HP	256	CMob::OnHPIndicator	dwMobId — read by CMobPool  OnMobPacket before dispatch:4,nHPpercentage (0..100):1
candidate	SHOW_SCROLL_EFFECT	170	CUser::ShowItemUpgradeEffect	characterId — consumed by CUserPool  OnUserCommonPacket disp:4,bSuccess (scroll succeeded flag):1,v4 / bCursed (cursed/failed outcome flag):1,bEnchantSkill (true = Vega/enchant scroll category; false = :1,v5 (lucky/white-scroll display flag) — NOTE  v83 does NOT re:1
candidate	SHOW_UPGRADE_TOMB_EFFECT	199	CUserRemote::OnShowUpgradeTombEffect	characterId (read by CUserPool  OnUserRemotePacket dispatche:4,itemId:4,x:4,y:4
candidate	SKILL_EFFECT	194	CUserRemote::OnSkillPrepare	nSkillID:4,nSLV (skill level):1,action (bit15 = move-action  low15 = one-time-action):2,nActionSpeed:1
verified	SKILL_LEARN_ITEM_RESULT/result	51	CWvsContext::OnSkillLearnItemResult	v84 bOnExclRequest:1,characterId:4,isMasteryBook:1,skillId (decoded  discarded):4,masterLevel (decoded  discarded):4,canUse:1,success:1
candidate	SNOWBALL_MESSAGE	290	CField_SnowBall::OnSnowBallMsg	f0:1,f1:1
candidate	SORT_ITEM_RESULT	53	CWvsContext::OnSortItemResult	f0:1,f1:1
verified	SPAWN_DOOR	282	CTownPortalPool::OnTownPortalCreated	launched flag (writeBool launched):1,ownerId (door owner character id):4,x (door position  writeShort):2,y (door position  writeShort):2
verified	SPAWN_KITE	271	CMessageBoxPool::OnMessageBoxEnterField	dwMessageBoxID (kite object id  v59):4,nItemID (kite template/item id  +56):4,sMsg (kite message):s,sCharacterName (owner name):s,ptMessageBox.x (spawn x  +28):2,nType/y (spawn y or kite type  +32):2
verified	SPAWN_NPC	264	CNpcPool::OnNpcEnterField	npcId (dwNpcId):4,templateId (CNpcTemplate id):4,x (this+86):2,cy (y  this+87):2,moveAction (atlas f flag  this+43):1,fh (foothold  GetFoothold arg):2,rx0 (this+39):2,rx1 (this+40):2,enabled (this+77; atlas trailing 1):1
verified	SPAWN_NPC_REQUEST_CONTROLLER	266	CNpcPool::OnNpcChangeController	localFlag (controller assigned to local user; atlas leading :1,npcId:4,templateId (SetLocalNpc new-entry path):4,x:2,cy (y):2,moveAction (atlas f flag):1,fh (foothold):2,rx0:2,rx1:2,enabled (m_bEnabled; atlas miniMap bool):1
candidate	SPAWN_PLAYER	163	CUserPool::OnUserEnterField	characterId (dwCharacterID):4
candidate	SPAWN_SPECIAL_MAPOBJECT	179	CSummonedPool::OnCreated	cid (character id) — read upstream by CUserPool  OnUserCommo:4,oid (summon object id) — OnCreated@0x95ADEC Decode4@0x95ae0e:4,skillId (nSkillID) — OnCreated@0x95ADEC Decode4@0x95ae17; co:4,charLevel (nCharLevel) — OnCreated@0x95ADEC Decode1@0x95ae21:1,SLV skill level (nSLV) — OnCreated@0x95ADEC Decode1@0x95ae30:1,nX — CSummoned  Init blob @0x7a379b Decode2@0x7a37b2.:2,nY — CSummoned  Init @0x7a379b Decode2@0x7a37bf.:2,nMoveAction (stance) — CSummoned  Init @0x7a379b Decode1@0x7:1,nCurFoothold — CSummoned  Init @0x7a379b Decode2@0x7a37cf; a:2,nMoveAbility (movementType) — CSummoned  Init @0x7a379b Deco:1,nAssistType (!puppet attack flag) — CSummoned  Init @0x7a379:1,nEnterType (!animated flag; read after the Skill guard) — CS:1
candidate	SUE_CHARACTER_RESULT	55	CWvsContext::OnSueCharacterResult	result byte @0xa2974a:1
candidate	SUMMON_ITEM_INAVAILABLE	140	CField::OnSummonItemInavailable	f0:1
candidate	SUMMON_SKILL	183	CSummonedPool::OnSkill	cid — read by CSummonedPool  OnPacket@0x938dd7 before dispat:4,action/newStance (v & 0x7F -> SetAttackAction sub_7A601D) — :1
candidate	TOURNAMENT	322	CField_Tournament::OnTournament	mode; consumed inside the leading branch condition itself (C:1,value; read unconditionally by whichever arm is selected -- :1
candidate	TOURNAMENT_UEW	325	CField_Tournament::OnTournamentUEW	f0:1
candidate	UPDATE_CHAR_BOX	168	CUser::OnMiniRoomBalloon	characterId (consumed by CUserPool  OnUserCommonPacket GetUs:4,roomType (0 = remove balloon):1,roomId (m_dwMiniRoomSN; roomType != 0):4,title (m_sMiniRoomTitle):s,hasPassword (m_bPrivate):1,pieceType (m_nGameKind):1,occupancy (m_nCurUsers):1,capacity (m_nMaxUsers):1,inProgress (m_bGameOn):1
candidate	UPDATE_PARTYMEMBER_HP	205	CUserRemote::OnReceiveHP	f0:4,f1:4
candidate	UPDATE_PINCODE	7	CLogin::OnUpdatePinCodeResult	resultCode (success/failure dispatch):1
candidate	VEGA_SCROLL	368	CUIVega::OnVegaResult	vega result mode byte; single Decode1 routed to START/RESULT:1
candidate	WEDDING_PROGRESS	327	CField_Wedding::OnWeddingProgress	f0:1,f1:4,f2:4
candidate	WITCH_TOWER_SCORE_UPDATE	308	CField_Witchtower::OnScoreUpdate	f0:1
candidate	ZAKUM_SHRINE	310	CField::OnZakumTimer	f0:1,f1:4
