quest_id	quest_name	lvmin	item	droppers	seed_changesets	quest_map_tokens	dropper_on_quest_map	dropper_levels	heuristic_verdict	flags	reviewed_verdict	evidence
22407	Making a Bigger Saddle	80	4032475	8140000,9500134	156	211000000,230000000,251000000	no	8140000=80,9500134=80	DROPPER_OFF_QUEST_MAPS	NAME_LINK:Lycanthrope~Lycanthrope Leather;ALSO_UPSTREAM_SOURCED	CLEARED	text: "obtain #t4032475#s from #m211000000#", and the item IS "Lycanthrope Leather"; dropper 8140000 IS "Lycanthrope", placed on 211040800/211040900/211041000 - El Nath Dungeon, i.e. the El Nath the token names. The token labels the REGION by its town; a one-hop check cannot walk that far.
22409	Making the Unbreakable Porcelain	80	4000291	4230505	upstream	251000000	neighbour	4230505=47	UPSTREAM_ONLY	LEVEL_GAP+33		
22409	Making the Unbreakable Porcelain	80	4000292	4230506	upstream	251000000	neighbour	4230506=48	UPSTREAM_ONLY	LEVEL_GAP+32;NAME_LINK:Ginseng Jar~Ginseng-Boiled Water		
22410	The Lost Big Saddle	80	4032504	8140000,9500134	156	230000000	no	8140000=80,9500134=80	DROPPER_OFF_QUEST_MAPS	NAME_LINK:Lycanthrope~Lycanthrope Leather	CLEARED	text: "the same materials as before"; 4032504 is a second item id with the same name and desc, "Lycanthrope Leather". Same answer as 22407.
22412	Making a Really Big Saddle	120	4000270	8300004	153	230000000	no	8300004=115	DROPPER_OFF_QUEST_MAPS	NAME_LINK:Soaring Black Wyvern ~Wyvern Toenail;ALSO_UPSTREAM_SOURCED	CLEARED	"Wyvern Toenail" <- 8300004 "Soaring Black Wyvern"; the row is a verbatim table copy from Dark Wyvern 8150302 (changeSet 153) and four upstream droppers already carry the item. The quest names no source map, only Kenta.
22412	Making a Really Big Saddle	120	4000271	9500377	153	230000000	no	9500377=100	DROPPER_OFF_QUEST_MAPS	LEVEL_GAP+20;NAME_LINK:Nest Golem~Destroyed Nest;ALSO_UPSTREAM_SOURCED	CLEARED	"Destroyed Nest" <- 9500377 "Nest Golem", name identity with the upstream 8190002/8190005 Nest Golem rows. The level gap is the Crimson Sky copy at 100 against a level-120 quest; the same item drops from Leafre at 110.
22412	Making a Really Big Saddle	120	4000272	9500376	153	230000000	no	9500376=100	DROPPER_OFF_QUEST_MAPS	LEVEL_GAP+20;ALSO_UPSTREAM_SOURCED	CLEARED	"Egg Shell", desc "a broken piece of egg shell that Newt Jr. had on its head" <- 9500376 "Jr. Newtie", name identity with upstream 8190000.
22413	The Lost Really Big Saddle	120	4000270	8300004	153	230000000	no	8300004=115	DROPPER_OFF_QUEST_MAPS	NAME_LINK:Soaring Black Wyvern ~Wyvern Toenail;ALSO_UPSTREAM_SOURCED	CLEARED	identical requirement set to 22412 ("pay double the fee"); same answer.
22413	The Lost Really Big Saddle	120	4000271	9500377	153	230000000	no	9500377=100	DROPPER_OFF_QUEST_MAPS	LEVEL_GAP+20;NAME_LINK:Nest Golem~Destroyed Nest;ALSO_UPSTREAM_SOURCED	CLEARED	identical requirement set to 22412; same answer.
22413	The Lost Really Big Saddle	120	4000272	9500376	153	230000000	no	9500376=100	DROPPER_OFF_QUEST_MAPS	LEVEL_GAP+20;ALSO_UPSTREAM_SOURCED	CLEARED	identical requirement set to 22412; same answer.
22503	A Bite of Pork	11	4032453	1210100	159	-	no	1210100=7	NO_MAP_TOKEN_UNCHECKABLE		CLEARED	pinned separately by EvanPorkSourceRealLoad: the quest names #o1210100# "Pig" for "Pork" and farm map 100030310 carries 20 of them.
22511	Mushrooms Instead of Meat!	14	4000001	1210102,9300274,9300342,9500102	upstream	-	no	1210102=8,9300274=8,9300342=8,9500102=8	UPSTREAM_ONLY	NAME_LINK:Orange Mushroom~Orange Mushroom Cap		
22521	Become a Hero	18	4000009	2220110	160	106010100	yes	2220110=20	OK_ON_QUEST_MAP	NAME_LINK:Crying Blue Mushroom~Blue Mushroom Cap;ALSO_UPSTREAM_SOURCED		
22523	Investigating Strange Mushrooms	20	4000009	2220110	160	100000000,106010100	yes	2220110=20	OK_ON_QUEST_MAP	NAME_LINK:Crying Blue Mushroom~Blue Mushroom Cap;ALSO_UPSTREAM_SOURCED		
22524	Strange Puppet	20	4032459	2220100,2220110	156	100000000	neighbour	2220100=20,2220110=20	OK_ONE_PORTAL_AWAY	RED_TEXT:100;NAME_LINK:Blue Mushroom~Blue Mushroom Doll		
22529	Helping Beginner Adventurer Christopher	22	4032460	130100,1130100,1140100,2130100	156,170	102000000,106000000	yes	130100=4,1130100=17,1140100=19,2130100=22	OK_ON_QUEST_MAP	RED_TEXT:Stumps;NAME_LINK:Stump~Refreshing Stump Sap		
22531	A Guard's Fourth Assignment: Discovery of Strange Mushrooms	25	4032461	2230131	156	102000000,105040300,105050300,106000300	yes	2230131=24	OK_ON_QUEST_MAP	NAME_LINK:Annoyed Zombie Mushroom~Zombie Mushroom Doll		
22532	A Guard's Fifth Assignment: Strange Wild Boars	26	4032462	2230112	156	102000000,106000300	no	2230112=25	DROPPER_OFF_QUEST_MAPS	NAME_LINK:Terrified Wild Boar~Wild Boar Doll	CLEARED	Check.img/22532/1 itself requires 50 kills of mob 2230112, and the drop row is on 2230112 "Terrified Wild Boar" for "Wild Boar Doll". The map tokens are only where the NPC stands - "Find out what it is from #p1040001# at the #m106000300#" - not where the boars are.
22535	Kerning City Investigation: JM	28	4000042	2300100,9400503	upstream	103000000	no	2300100=20,9400503=5	UPSTREAM_ONLY	NAME_LINK:Stirge~Stirge Wing		
22548	Clue about the Thief	32	4032463	3110100	156	103000000,105040300	neighbour	3110100=32	OK_ONE_PORTAL_AWAY			
22553	Puppet Caring for his Maser 2	33	4000035	3230101,9400501,9500111,9500157	upstream	103000000,105070300	no	3230101=35,9400501=5,9500111=35,9500157=35	UPSTREAM_ONLY	NAME_LINK:Jr. Wraith~Tablecloth		
22555	Chief Stan's Test	34	4000068	3000001,3000002,3000003,3000004	upstream	100000000,106010100,910600000	neighbour	3000001=30,3000002=30,3000003=30,3000004=30	UPSTREAM_ONLY			
22559	Eliminate the Golems	35	4032466	9300387	156	100000000	no	9300387=55	DROPPER_OFF_QUEST_MAPS	NAME_LINK:Enraged Golem~Golem Doll	CLEARED	text: "enter that door, defeat the Enraged Golems, and bring back the culprit... a doll or puppet". Item 4032466 IS "Golem Doll"; dropper 9300387 IS "Enraged Golem", placed on 910600000 and 910600010. 910600010 is reachable - scripts/portal/evanDollGR.js warps there from 106010102 portal 8. No tm points at it, which is why a tm-only reachability check calls it orphaned.
22561	Condition for Joining the Secret Organization 2	36	4000031	4230101,5220002,9500116,9500308	upstream	-	no	4230101=40,5220002=50,9500116=40,9500308=50	UPSTREAM_ONLY	NAME_LINK:Zombie Lupin~Cursed Doll		
22563	The Value of One Scale	41	4000204	4230125	upstream	-	no	4230125=44	UPSTREAM_ONLY	NAME_LINK:Skeledog~Skeledog&apos;s Bone		
22568	Making the Growth Accelerant	46	4000068	3000001,3000002,3000003,3000004	upstream	200081201	no	3000001=30,3000002=30,3000003=30,3000004=30	UPSTREAM_ONLY	LEVEL_GAP+16		
22568	Making the Growth Accelerant	46	4000070	5120001,9400509	upstream	200081201	no	5120001=53,9400509=33	UPSTREAM_ONLY	NAME_LINK:Cellion~Cellion Tail		
22568	Making the Growth Accelerant	46	4000071	5120002	upstream	200081201	no	5120002=53	UPSTREAM_ONLY	NAME_LINK:Lioner~Lioner Tail		
22568	Making the Growth Accelerant	46	4000072	5120003	upstream	200081201	no	5120003=53	UPSTREAM_ONLY	NAME_LINK:Grupin~Grupin Tail		
22573	Tropical Fruit Punch	51	4000029	3210800,5220002	upstream	110000000	neighbour	3210800=37,5220002=50	UPSTREAM_ONLY	NAME_LINK:Lupin~Lupin&apos;s Banana		
22573	Tropical Fruit Punch	51	4000044	4230104,5220000	upstream	110000000	no	4230104=48,5220000=55	UPSTREAM_ONLY	NAME_LINK:Clang~Clang Claw		
22574	Strong Sail Needed	51	4000030	4130100,5130100,6130100,6230600,6230601,9500125,9500126	upstream	-	no	4130100=45,5130100=50,6130100=60,6230600=64,6230601=68,9500125=60,9500126=64	UPSTREAM_ONLY			
22575	Secret Organization's Second Mission	57	4000069	5130107,5130108	upstream	211000000	no	5130107=57,5130108=57	UPSTREAM_ONLY	NAME_LINK:Coolie Zombie~Zombie&apos;s Lost Tooth		
22577	The Lost Black Key	57	4000069	5130107,5130108	upstream	-	no	5130107=57,5130108=57	UPSTREAM_ONLY	NAME_LINK:Coolie Zombie~Zombie&apos;s Lost Tooth		
22582	Secret Organization's Third Mission	67	4000144	6230500,9500127	upstream	220000000,922030000	no	6230500=67,9500127=67	UPSTREAM_ONLY	NAME_LINK:Master Soul Teddy~Free Spirit		
