quest_id	quest_name	lvmin	end_date	category	ids	priority	status	analogue_row	note
10501	Searcing for Remnants of the Dragon Master 1		200912170000	MISSING_ITEM_SOURCE	item 4032533	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10502	Searching for Remnants of the Dragon Master 2		200912170000	MISSING_ITEM_SOURCE	item 4032534	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10503	Searching for Remnants of the Dragon Master 3		200912170000	MISSING_ITEM_SOURCE	item 4032535	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10504	Searching for Remnants of the Dragon Master 4		200912170000	MISSING_ITEM_SOURCE	item 4032536	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10505	Searching for Remnants of the Dragon Master 5		200912170000	MISSING_ITEM_SOURCE	item 4032537	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10506	Searching for Remnants of the Dragon Master 6		200912170000	MISSING_ITEM_SOURCE	item 4032538	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10507	Searching for Remnants of the Dragon Master 7		200912170000	MISSING_ITEM_SOURCE	item 4032539	P2	DO_NOT_FIX		quest is behind an expired end date 200912170000 | no source at all
10510	Evan Everyday Event	13	201005050000	MISSING_ITEM_SOURCE	item 3994187	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
10510	Evan Everyday Event	13	201005050000	MISSING_ITEM_SOURCE	item 3994186	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
10514	Evan Launch Commemoration 2PM Event	13	200912261530	QUEST_RECORD_NO_WRITER	record 10517	P2	DO_NOT_FIX		quest is behind an expired end date 200912261530
10516	Evan Launch Commemoration 2PM Event	13	201001021546	QUEST_RECORD_NO_WRITER	record 10517	P2	DO_NOT_FIX		quest is behind an expired end date 201001021546
19011	The 3rd Honorable Mesoranger			MISSING_ITEM_SOURCE	item 1142170	P2	DO_NOT_FIX		GM-only. Administrator event medal: autoAccept + medalCategory 3, and its sole start requirement is possession of medal 1142170, which nothing grants because a GM handed it out. Nothing to fix. | no source at all
22100	Dragon Master 1st Job Advancement	10		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22101	Dragon Master 2nd Job Advancement	20		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22102	Dragon Master 3rd Job Advancement	30		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22103	Dragon Master 4th Job Advancement	40		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22104	Dragon Master 5th Job Advancement	50		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22105	Dragon Master 6th Job Advancement	60		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22106	Dragon Master 7th Job Advancement	80		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22107	Dragon Master 8th Job Advancement	100		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22108	Dragon Master 9th Job Advancement	120		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22109	Dragon Master 10th Job Advancement	160		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22401	Is Dragon Mounting Possible?	50		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22402	Meeting the Dragon Rider	50		NPC_NOT_PLACED	npc 9901000	P1	DECISION		OWNER. PlayerNPC for the Dragon Mount branch. NpcLocation.img and COLLISION-DENY.txt:406 say place it as a PlayerNPC on 102000004, not as a map NPC; playernpcs has 0 rows. QUESTION: create the PlayerNPC row? | phase 0
22406	Uncomfortable Saddle	80		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22411	Uncomfortable Saddle II	120		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22500	Baby Dragon Awakens	10		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22501	Hungry Baby Dragon	11		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22502	A Bite of Hay	11		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 1
22503	A Bite of Pork	11		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22504	Tasty Milk 1	12		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22506	Tasty Milk 3	12		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 1
22507	What is a Dragon Master?	13		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22508	Strange Pigs 1	13		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 1
22509	Strange Pigs 2	13		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22512	The Dragon Master's Calling	14		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22513	Rina's Worries	14		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 1
22514	Let's Train	14		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22521	Become a Hero	18		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22524	Strange Puppet	20		MOB_NOT_PLACED	mob 9101004	P2	NON_DEFECT		BY DESIGN. Virtual kill counter, not a spawn: Character.java:7471 raises MobId.BLUE_MUSHROOM_QUEST off the real Blue Mushroom kill. v84 places it on no map either (0 hits / 4848 images). Confirmed in play - character 51 has 22524 completed. | no map life entry
22526	Mike's Request	21		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 1
22537	Investigating the Biology of Dragons	30		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22539	Knowledge About Dragons 1	30		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22547	Knowledge about the Dragon 2	30		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22556	Chief Stan's Request	34		QUEST_RECORD_NO_WRITER	record 22598	P0	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS section 1. Quest.canStart AND canComplete both run canQuestByInfoProgress and autoStart does not bypass it, so nothing can write this record and the quest cannot advance. The trigger (map arrival vs portal touch vs NPC talk) is not stated by the data. QUESTION: which trigger writes it?
22557	Kidnapping of Camila	35		QUEST_RECORD_NO_WRITER	record 22598	P0	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS section 1. Quest.canStart AND canComplete both run canQuestByInfoProgress and autoStart does not bypass it, so nothing can write this record and the quest cannot advance. The trigger (map arrival vs portal touch vs NPC talk) is not stated by the data. QUESTION: which trigger writes it?
22563	The Value of One Scale	41		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22565	Never Give Up!	42		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22575	Secret Organization's Second Mission	57		NPC_NOT_PLACED	npc 1013202	P1	DECISION		UNKNOWN. Placed on no map in our tree AND none in pristine v84 (0 hits / 4848 images). scripts/quest/22575.js and 22581.js already exist; only the accept NPC is missing, the completion NPC is placed. Where GMS spawned him is not in the client data. QUESTION: place him, and if so where? | phase 0
22576	Delivering the Black Key	57		NPC_NOT_PLACED	npc 1013202	P1	DECISION		UNKNOWN. Placed on no map in our tree AND none in pristine v84 (0 hits / 4848 images). scripts/quest/22575.js and 22581.js already exist; only the accept NPC is missing, the completion NPC is placed. Where GMS spawned him is not in the client data. QUESTION: place him, and if so where? | phase 0
22577	The Lost Black Key	57		NPC_NOT_PLACED	npc 1013202	P1	DECISION		UNKNOWN. Placed on no map in our tree AND none in pristine v84 (0 hits / 4848 images). scripts/quest/22575.js and 22581.js already exist; only the accept NPC is missing, the completion NPC is placed. Where GMS spawned him is not in the client data. QUESTION: place him, and if so where? | phase 0
22578	Question about the Secret Organization	57		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22580	Slumbering Dragon Island	62		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22580	Slumbering Dragon Island	62		QUEST_RECORD_NO_WRITER	record 22599	P1	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS section 1. Quest.canStart AND canComplete both run canQuestByInfoProgress and autoStart does not bypass it, so nothing can write this record and the quest cannot advance. The trigger (map arrival vs portal touch vs NPC talk) is not stated by the data. QUESTION: which trigger writes it?
22581	Before Receiving the Secret Organization's Third Mission	67		NPC_NOT_PLACED	npc 1013202	P1	DECISION		UNKNOWN. Placed on no map in our tree AND none in pristine v84 (0 hits / 4848 images). scripts/quest/22575.js and 22581.js already exist; only the accept NPC is missing, the completion NPC is placed. Where GMS spawned him is not in the client data. QUESTION: place him, and if so where? | phase 0
22585	Suspicions about the Secret Organization	68		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22589	Dangerous Premonition	70		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22589	Dangerous Premonition	70		QUEST_RECORD_NO_WRITER	record 22600	P1	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS section 1. Quest.canStart AND canComplete both run canQuestByInfoProgress and autoStart does not bypass it, so nothing can write this record and the quest cannot advance. The trigger (map arrival vs portal touch vs NPC talk) is not stated by the data. QUESTION: which trigger writes it?
22589	Dangerous Premonition	70		QUEST_RECORD_NO_WRITER	record 22604	P1	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS section 1. Quest.canStart AND canComplete both run canQuestByInfoProgress and autoStart does not bypass it, so nothing can write this record and the quest cannot advance. The trigger (map arrival vs portal touch vs NPC talk) is not stated by the data. QUESTION: which trigger writes it?
22590	Voice of the Sleeping Dragon	70		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22591	The Past, Onyx Dragons, Black Mage	70		QUEST_RECORD_NO_WRITER	record 22601	P1	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS section 1. Quest.canStart AND canComplete both run canQuestByInfoProgress and autoStart does not bypass it, so nothing can write this record and the quest cannot advance. The trigger (map arrival vs portal touch vs NPC talk) is not stated by the data. QUESTION: which trigger writes it?
22592	Unavoidable Truth	70		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22596	Rage	70		MOB_NOT_PLACED	mob 9300393	P1	DECISION		UNKNOWN, already tracked in V84-OPEN-ITEMS. "Gentleman", placed by no map in our tree or in pristine v84. Quest text names room 922030001 (hook enterBlackfrog, absent). Spawn coordinates are in no WZ file. QUESTION: place it, at what coordinates? | no map life entry
22596	Rage	70		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22602	After Shedding 1	80		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22603	After Shedding 2	120		NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
28351	Dragon Master's Treasure Chest	13	201005050000	MISSING_ITEM_SOURCE	item 4000566	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
28351	Dragon Master's Treasure Chest	13	201005050000	MISSING_ITEM_SOURCE	item 4000567	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
28351	Dragon Master's Treasure Chest	13	201005050000	MISSING_ITEM_SOURCE	item 4000568	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
28351	Dragon Master's Treasure Chest	13	201005050000	MISSING_ITEM_SOURCE	item 4000569	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
28351	Dragon Master's Treasure Chest	13	201005050000	MISSING_ITEM_SOURCE	item 4000570	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
28351	Dragon Master's Treasure Chest	13	201005050000	MISSING_ITEM_SOURCE	item 4000571	P2	DO_NOT_FIX		quest is behind an expired end date 201005050000 | no source at all
28355	Confused Evan	10	2010050600	MISSING_ITEM_SOURCE	item 4001435	P2	DO_NOT_FIX		quest is behind an expired end date 2010050600 | no source at all
28356	Beginner Evan	10	2010050600	MISSING_ITEM_SOURCE	item 4001435	P2	DO_NOT_FIX		quest is behind an expired end date 2010050600 | no source at all
28357	Confident Evan	10	2010050600	MISSING_ITEM_SOURCE	item 4001435	P2	DO_NOT_FIX		quest is behind an expired end date 2010050600 | no source at all
28358	Elite Evan	10	2010050600	MISSING_ITEM_SOURCE	item 4001435	P2	DO_NOT_FIX		quest is behind an expired end date 2010050600 | no source at all
28359	Evan Trailblazer	10	2010050600	MISSING_ITEM_SOURCE	item 4001435	P2	DO_NOT_FIX		quest is behind an expired end date 2010050600 | no source at all
28360	Evan's Eternal Trailblazer	10	2010050600	MISSING_ITEM_SOURCE	item 4001435	P2	DO_NOT_FIX		quest is behind an expired end date 2010050600 | no source at all
29938	Dragon Master			NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
29939	Dragon Master			NPC_NOT_PLACED	npc 1013000	P2	NON_DEFECT		BY DESIGN. Mir is the summoned dragon, not a map NPC: QuestActionHandler.java:52,91 accepts him when player.getDragon() != null. v84 Map.wz places him on no map either (WzPeek scan id 1013000: 0 hits / 4848 images). | phase 0
22529	Helping Beginner Adventurer Christopher	22		VERIFIED_NO_DEFECT	item 4032460 / mob 130100	P0	NON_DEFECT	drop_data id 23018: (130100, 4032460, 1, 1, 22529, 80000), changeSet 156	Reported as "Stumps do not drop the sap". The row exists and is applied. v84 names the dropper outright - pristine Quest.wz/QuestInfo.img/22529/1 reads "dropped by the #o0130100#s", i.e. mob 130100 "Stump", verbatim in our tree. Stump is placed on 16 maps incl. 101030000 East Domain of Perion x26, 101040000 Perion Street Corner x32, 102010000 West Street Corner of Perion x22. The three maps the quest sends you to - 106000000/106000100/106000200 Deep Valley I/II/III - carry Axe Stump 1130100, Ghost Stump 1140100 and Dark Axe Stump 2130100, and NONE of them is mob 130100; pristine v84 Map.wz agrees exactly (Deep Valley I = 32x 1130100 + 10x 1140100 + npc 1022106). So the sap does not drop in the Deep Valleys in v84 either. DO NOT add a row on 1130100/1140100 - that would be inventing content v84 does not have. OWNER QUESTION only if he wants the deviation.
